CS01012021,T_SEC_NL,ZONENUMMER,STGB,NIS_GEM_L
25110A012,ARGENTINE,"3420","2",25110 WATERLOO
25110A021,PLATEAU DE L'ANGE,"3420","2",25110 WATERLOO
25110A03-,RUE DE L'INFANTE,"3421","2",25110 WATERLOO
25110A040,MOULIN BRULE (QUARTIER DU),"3421","2",25110 WATERLOO
25110A10-,SAINTE-ANNE,"3422","2",25110 WATERLOO
25110A111,CHATEAU CHEVAL,"3422","2",25110 WATERLOO
25110A12-,LES ROUSSETTES,"3422","2",25110 WATERLOO
25110A13-,LE MENIL,"3422","2",25110 WATERLOO
25110A180,FICHERMONT,"3423","2",25110 WATERLOO
25110A182,BIVOUAC,"3423","2",25110 WATERLOO
25110A191,STATION D'EPURATION,"3424","2",25110 WATERLOO
25110A192,PONT DE BERLAYMONT,"3424","2",25110 WATERLOO
25110A1MJ,SUCRERIE,"3424","2",25110 WATERLOO
25110A20-,CHENOIS,"3425","2",25110 WATERLOO
25110A210,LES BRUYERES,"3421","2",25110 WATERLOO
25110A22-,CHAMP PALAU,"3425","2",25110 WATERLOO
25110A233,ESCAVEE,"3425","2",25110 WATERLOO
25110A290,SAINTE-GERTRUDE,"3421","2",25110 WATERLOO
25110A315,SINT-JOHN,"3426","2",25110 WATERLOO
25110A322,CONSTELLATION - AYWIERS,"3426","2",25110 WATERLOO
25110A332,VERT COUCOU,"3426","2",25110 WATERLOO
25110A391,DOMAINE ARGENTEUIL,"3427","2",25110 WATERLOO
25110A401,FOND VANDENBOSCH,"3424","2",25110 WATERLOO
25110A412,ROUSSART,"3424","2",25110 WATERLOO
25110A421,CHAMP DE MAI,"3428","2",25110 WATERLOO
25110A423,LES DAUPHINS,"3428","2",25110 WATERLOO
25110A434,WAGRAM,"3424","2",25110 WATERLOO
25110A442,BEAUFAUX,"3428","2",25110 WATERLOO
25110A61-,BEAU-SEJOUR (PLATEAU),"3429","2",25110 WATERLOO
25110A62-,CHASSEURS (DREVE DES),"3429","2",25110 WATERLOO
25110A631,MANOIR,"3430","2",25110 WATERLOO
25110A692,MAISON DU SEIGNEUR,"3427","2",25110 WATERLOO
25112A001,WAVRE-CENTRE VILLE,"3431","2",25112 WAVRE
25112A011,SABLON,"3432","2",25112 WAVRE
25112A022,WAVRE-GARE,"3431","2",25112 WAVRE
25112A032,QUATRE CHEMINS,"3433","2",25112 WAVRE
25112A100,BASSE WAVRE,"3434","2",25112 WAVRE
25112A11-,PARC DES PRINCES,"3434","2",25112 WAVRE
25112A122,GRAND TOUR,"3435","2",25112 WAVRE
25112A132,BOIS DE DOICEAU,"3436","2",25112 WAVRE
25112A191,LONG CHAMP,"3436","2",25112 WAVRE
25112A201,CHAMP DES MONTS,"3437","2",25112 WAVRE
25112A21-,CHEREMONT,"3438","2",25112 WAVRE
25112A222,BRUYERE-STE-ANNE,"3438","2",25112 WAVRE
25112A2AJ,QUATRE SAPINS,"3439","2",25112 WAVRE
25112A301,SAINTE-ANNE - BORGENDAEL,"3440","2",25112 WAVRE
25112A31-,ORANGERIE,"3441","2",25112 WAVRE
25112A32-,STADT,"3442","2",25112 WAVRE
25112A332,PARC DES SAULES,"3441","2",25112 WAVRE
25112A380,CULOT-VERTE VOIE,"3443","2",25112 WAVRE
25112A390,LE RY,"3442","2",25112 WAVRE
25112A4MC,PARC INDUSTRIEL NORD,"3444","2",25112 WAVRE
25112A4PC,LA BILANDE,"3445","2",25112 WAVRE
25112A5AA,DOMAINE DE LAUZELLE,"3446","2",25112 WAVRE
25112A5BB,LES CHAUWERES,"3446","2",25112 WAVRE
25112A5MA,TREFLE DES BALANCOIRES,"3446","2",25112 WAVRE
25112A5PB,LOUVRANGES - BOIS DU VAL,"3446","2",25112 WAVRE
25112B00-,BIERGES-CENTRE,"3447","2",25112 WAVRE
25112B01-,VALLEES,"3447","2",25112 WAVRE
25112B023,LA HAIE-(BIERGES),"3447","2",25112 WAVRE
25112B074,PARC INDUSTRIEL SUD - WASTINNES - MOULIN,"3447","2",25112 WAVRE
25112B082,BOIS WILMET,"3447","2",25112 WAVRE
25112B091,LE POINT DU JOUR,"3447","2",25112 WAVRE
25112B101,QUERELLES,"3447","2",25112 WAVRE
25112B112,QUATRE CHEMINS,"3447","2",25112 WAVRE
25112B12-,BOIS DE LA PIERRE,"3447","2",25112 WAVRE
25112B133,LA RESERVE,"3447","2",25112 WAVRE
25112B185,ERMITAGE,"3447","2",25112 WAVRE
25112B200,CHAMPLES - CENTRE,"3447","2",25112 WAVRE
25112B290,TEMPLIERS,"3447","2",25112 WAVRE
25112B302,ANGOUSART,"3447","2",25112 WAVRE
25112B391,BOIS DE BIERGES,"3447","2",25112 WAVRE
25112C001,LIMAL-CENTRE,"3448","2",25112 WAVRE
25112C010,BOURSE -  BARIVAUX,"3448","2",25112 WAVRE
25112C022,CHATEAU,"3448","2",25112 WAVRE
25112C031,LA HAIE,"3448","2",25112 WAVRE
25112C042,,"3448","2",25112 WAVRE
25112C052,LES PRES,"3448","2",25112 WAVRE
25112C091,LES BALLAUX,"3448","2",25112 WAVRE
25112C10-,PAR DELA L'EAU -TIENNE VANASSE,"3449","2",25112 WAVRE
25112C113,TIENNE DES PREU - TROU DU HAUT,"3449","2",25112 WAVRE
25112C182,DYLE,"3448","2",25112 WAVRE
25112C191,LE MANIL,"3449","2",25112 WAVRE
25112C20-,GRANSART,"3448","2",25112 WAVRE
25112C210,PROFONSART,"3448","2",25112 WAVRE
25112C282,CHAMP PIPICHE,"3448","2",25112 WAVRE
25112C2AV,LE PELERIN,"3448","2",25112 WAVRE
25112C2QV,LA BOURSE,"3448","2",25112 WAVRE
25112C310,BEAUCHAMP,"3450","2",25112 WAVRE
25112C322,VILLAGE EXPO,"3450","2",25112 WAVRE
25112C391,BOIS DE LIMAL,"3450","2",25112 WAVRE
25112C404,BOIS DU MANIL-BOIS DE L'AVOCAT,"3449","2",25112 WAVRE
25117A00-,CHASTRE-CENTRE,"3451","3",25117 CHASTRE
25117A011,CHASTRE-GARE,"3451","3",25117 CHASTRE
25117A090,CHASTRE-HAB. DISPERSEES,"3451","3",25117 CHASTRE
25117A101,BLANMONT-CENTRE,"3451","3",25117 CHASTRE
25117A112,BLANMONT - AU CHENE,"3451","3",25117 CHASTRE
25117A122,LES LOVIERES,"3451","3",25117 CHASTRE
25117A190,BLANMONT-HAB. DISPERSEES,"3451","3",25117 CHASTRE
25117A20-,VILLEROUX-CENTRE,"3451","3",25117 CHASTRE
25117A282,ARBRE DE LA JUSTICE-HAB. DISP.,"3451","3",25117 CHASTRE
25117A291,VILLEROUX--HAB. DISPERSEES,"3451","3",25117 CHASTRE
25117B001,CORTIL-NOIRMONT-CENTRE,"3452","3",25117 CHASTRE
25117B022,LE FRY DES RUDES,"3452","3",25117 CHASTRE
25117B033,FERME DU BATI,"3452","3",25117 CHASTRE
25117B082,CORTIL-NOIRMONT-HAB. DISP. EST,"3452","3",25117 CHASTRE
25117B091,CORTIL-NOIRMONT-HAB.DISP.OUEST,"3452","3",25117 CHASTRE
25117B100,NOIRMONT,"3452","3",25117 CHASTRE
25117C00-,SAINT-GERY-CENTRE,"3453","3",25117 CHASTRE
25117C012,LE BOSQUET,"3453","3",25117 CHASTRE
25117C091,SAINT-GERY-HAB. DISPERSEES,"3453","3",25117 CHASTRE
25117C199,CORCALE,"3453","3",25117 CHASTRE
"25117D001",GENTINES-CENTRES,"3454","3",25117 CHASTRE
"25117D022",ALTIAU,"3454","3",25117 CHASTRE
"25117D099",GENTINNES-HAB. DISPERSEES,"3454","3",25117 CHASTRE
25118A001,NEERHEYLISSEM-CENTRE,"3455","2",25118 HELECINE
25118A012,ARDEVOOR,"3455","2",25118 HELECINE
25118A082,BRACATE-HABITATIONS DISP.,"3455","2",25118 HELECINE
25118A091,SAINT DONAT-HABITATIONS DISP.,"3455","2",25118 HELECINE
25118B00-,OPHEYLISSEM-CENTRE,"3456","2",25118 HELECINE
25118B09-,OPHEYLISSEM-HABITATIONS DISP.,"3456","2",25118 HELECINE
25118B10-,HAMPTEAU-CENTRE,"3456","2",25118 HELECINE
25118B19-,HAMPTEAU-HABITATIONS DISP.,"3456","2",25118 HELECINE
25118C00-,LINSMEAU-CENTRE,"3457","2",25118 HELECINE
25118C082,BOIS DE LATTES,"3457","2",25118 HELECINE
25118C091,ARBRE DE LA GORLETTE-HAB.DISP.,"3457","2",25118 HELECINE
2511910PQ,GRAND CHEMIN,"3459","2",25119 LASNE
25119B00-,COUTURE-SAINT-GERMAIN-CENTRE,"3460","2",25119 LASNE
25119B012,FOND D'AGNY,"3460","2",25119 LASNE
25119B099,AYWIERS-HABITATIONS DISPERSEES,"3460","2",25119 LASNE
25119B101,SAUVAGEMONT-CENTRE,"3460","2",25119 LASNE
25119B112,CHENE AU CORBEAU,"3460","2",25119 LASNE
25119B190,BOIS LOWET,"3460","2",25119 LASNE
25119B21-,AYWIERS-CENTRE,"3460","2",25119 LASNE
25119C00-,MARANSART-CENTRE,"3461","2",25119 LASNE
25119C010,COLINET,"3461","2",25119 LASNE
25119C090,MARANSART-HABITATIONS DISP.,"3461","2",25119 LASNE
25119C110,HANOGRUNE,"3461","2",25119 LASNE
25119C190,LASNE,"3461","2",25119 LASNE
"25119D001",OHAIN-CENTRE,"3462","2",25119 LASNE
"25119D010",CHAUBRIRE,"3462","2",25119 LASNE
25119D02-,CHENE AUX RENARDS,"3462","2",25119 LASNE
"25119D032",MESSAGER DE BRUXELLES,"3462","2",25119 LASNE
"25119D042",PEQUE,"3462","2",25119 LASNE
"25119D052",CHAMP DE GENVAL,"3462","2",25119 LASNE
"25119D083",MARGO,"3462","2",25119 LASNE
"25119D091",BOIS D'OHAIN,"3462","2",25119 LASNE
25119D10-,RANSBECK-CENTRE,"3462","2",25119 LASNE
"25119D111",ARGENTEUIL,"3462","2",25119 LASNE
"25119D122",BAS-RANSBECK,"3462","2",25119 LASNE
"25119D190",RANSBECK-HABITATIONS DISP.,"3462","2",25119 LASNE
"25119D200",HANNONSART,"3462","2",25119 LASNE
"25119D291",LA RAMEE,"3462","2",25119 LASNE
"25119D310",GROS TIENNE,"3462","2",25119 LASNE
"25119D412",LA MARACHE,"3463","2",25119 LASNE
"25119D491",CAMUSELLE,"3463","2",25119 LASNE
"25119E001",PLANCENOIT-CENTRE,"3464","2",25119 LASNE
"25119E022",VIEILLE GARDE,"3464","2",25119 LASNE
"25119E032",RUE AUX LOUPS,"3464","2",25119 LASNE
"25119E099",CHAMP DE BATAILLE,"3464","2",25119 LASNE
"25119E199",MAISON DU ROY,"3464","2",25119 LASNE
25120A001,ORP-LE-GRAND,"3465","2",25120 ORP-JAUCHE
25120A012,VALLEE,"3465","2",25120 ORP-JAUCHE
25120A099,LANOO-HABITATIONS DISPERSEES,"3465","2",25120 ORP-JAUCHE
25120A10-,ORP-LE-PETIT-CENTRE,"3465","2",25120 ORP-JAUCHE
25120A190,ORP-LE-PETIT-HABITATIONS DISP.,"3465","2",25120 ORP-JAUCHE
25120A20-,MARET-CENTRE,"3465","2",25120 ORP-JAUCHE
25120B00-,JANDRAIN-CENTRE,"3466","2",25120 ORP-JAUCHE
25120B099,JANDRAIN - JANDRENOUILLE - HABITATIONS DISPERSEES,"3466","2",25120 ORP-JAUCHE
25120B10-,JANDRENOUILLE-CENTRE,"3466","2",25120 ORP-JAUCHE
25120B292,MOULIN,"3466","2",25120 ORP-JAUCHE
25120C00-,JAUCHE-CENTRE,"3467","2",25120 ORP-JAUCHE
25120C010,JAUCHE-CENTRE NORD,"3467","2",25120 ORP-JAUCHE
25120C082,RENEAU - FOSSE,"3467","2",25120 ORP-JAUCHE
25120C099,LA BRUYERE,"3467","2",25120 ORP-JAUCHE
25120C293,LA TOMBALE,"3467","2",25120 ORP-JAUCHE
25120D00-,FOLX-LES-CAVES-CENTRE,"3468","2",25120 ORP-JAUCHE
25120D09-,LES CAVES -LES TAILLIS -FODIER,"3468","2",25120 ORP-JAUCHE
25120E00-,ENINES-CENTRE,"3469","2",25120 ORP-JAUCHE
25120F00-,MARILLES-CENTRE,"3470","2",25120 ORP-JAUCHE
25120F09-,MARILLES-HABITATIONS DISP.,"3470","2",25120 ORP-JAUCHE
25120F109,NODRENGE,"3470","2",25120 ORP-JAUCHE
25120F19-,SAUSSOY,"3470","2",25120 ORP-JAUCHE
25120G00-,NODUWEZ-CENTRE,"3471","2",25120 ORP-JAUCHE
25120G01-,LIBERTANGE-CENTRE,"3471","2",25120 ORP-JAUCHE
25120G080,LIBERTANGE-HABITATIONS DISP.,"3471","2",25120 ORP-JAUCHE
25120G090,NODUWEZ-HABITATIONS DISP.,"3471","2",25120 ORP-JAUCHE
25121A00-,OTTIGNIES-CENTRE,"3472","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A02-,CLINIQUE,"3472","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A070,FRANQUENIES,"3473","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A10-,DEUX PONTS,"3473","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A11-,STIMONT,"3473","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A120,ETOILE (PARC DE L'),"3473","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A13-,LE RENIVAUX,"3473","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A141,BLANC RY (OTTIGNIES),"3473","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A189,GARE,"3473","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A190,LE BOIS DES REVES,"3473","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A20-,PETIT RY,"3472","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A212,PINCHART,"3474","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A291,PINCHART,"3474","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A301,BLOCRY,"3475","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A31-,LA CROIX,"3473","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A322,BAULOY,"3473","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A381,MALAISE,"3476","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A391,BOIS DE LAUZELLE,"3477","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A402,LOUVAIN-LA-NEUVE-CENTRE,"3478","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A503,BICREAU-CENTRE,"3479","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A514,BICREAU - ZONE ACADEMIQUE,"3479","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A525,ESPINETTE,"3479","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A536,BARAQUE EXTENSION,"3479","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A577,PARC SCIENTIFIQUE,"3480","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A608,BRUYERE-CENTRE,"3479","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A6AJ,BRUYERE - HABITATIONS DIPERSEES,"3481","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A703,HOCAILLE-CENTRE,"3482","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A713,HOCAILLE-HAUTE,"3475","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A724,CENTRE SPORTIF,"3475","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A735,HOCAILLE - CLOS,"3482","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A806,LAUZELLE,"3483","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121A912,BRUYERES,"3476","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121B00-,CEROUX-CENTRE,"3484","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121B01-,LE TRY,"3484","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121B0PN,MORIENSART - FERRIERES - CROIX THOMAS,"3484","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121B101,MOUSTY-CENTRE,"3484","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121B110,FRANQUENIES,"3484","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121B122,MOUSTY - CIMETIERE,"3484","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121B181,BRULOTTE,"3484","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121B191,MOUSTY-HABITATIONS DISPERSEES,"3484","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121B212,CHAPELLE AUX SABOTS,"3484","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121B312,BOIS DE MARIMONT,"3484","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121C001,LIMELETTE-CENTRE,"3485","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121C02-,PLACE EUROPE,"3485","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121C072,PARC INDUSTRIEL,"3485","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121C091,LIMELETTE-HABITATIONS DISP.,"3485","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121C101,ROFESSART-EGLISE,"3485","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121C112,ROFESSART-CHARNOIS,"3485","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121C19-,ROFESSART-HABITATIONS DISP.,"3485","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121C212,BLANC RY (LIMELETTE),"3485","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121C291,TAILLE DU CHATEAU,"3485","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121C2AJ,FERME DU PONT,"3485","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121C310,BUSTON CITE,"3485","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121C323,PIROY-CORBEAU,"3485","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25121C392,SABLIERE,"3485","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
"25121D200",LA BARAQUE,"3486","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
"25121D272",LOUVAIN-LA-NEUVE -PARC INDUST.,"3486","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
"25121D282",FERME DE LAUZELLE,"3486","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
"25121D285",CHAPELLE ABBE HUYBERECHTS,"3486","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
"25121D291",BURNIAS,"3486","2",25121 OTTIGNIES-LOUVAIN-LA-NEUVE
25122A00-,RAMILLIES-CENTRE,"3487","2",25122 RAMILLIES
25122A09-,RAMILLIES-HABITATIONS DISP.,"3487","2",25122 RAMILLIES
25122A10-,OFFUS-CENTRE,"3487","2",25122 RAMILLIES
25122A199,OFFUS - HABITATIONS DISPERSEES,"3487","2",25122 RAMILLIES
25122A21-,GARE - CENTRE,"3487","2",25122 RAMILLIES
25122B00-,GRAND-ROSIERE-HOTTOMONT-CENTRE,"3488","2",25122 RAMILLIES
25122B01-,HOTTOMONT,"3488","2",25122 RAMILLIES
25122B082,AUBREME CHAMPS,"3488","2",25122 RAMILLIES
25122B091,CHENOIS-CHAMPS,"3488","2",25122 RAMILLIES
25122C00-,GEEST-GEROMPONT-CENTRE,"3489","2",25122 RAMILLIES
25122C089,L'AMERIQUE,"3489","2",25122 RAMILLIES
25122C090,FOND AUX CRAPAUDS,"3489","2",25122 RAMILLIES
25122C11-,RAMILLIES STATION-CENTRE,"3489","2",25122 RAMILLIES
25122C20-,PETIT-ROSIERE-CENTRE,"3489","2",25122 RAMILLIES
25122C290,PETIT-ROSIERE -HAB. DISP.,"3489","2",25122 RAMILLIES
"25122D001",MONT-SAINT-ANDRE-CENTRE,"3490","2",25122 RAMILLIES
"25122D022",PETITE COYARDE,"3490","2",25122 RAMILLIES
"25122D082",GRANDE COYARDE,"3490","2",25122 RAMILLIES
"25122D091",MONT-SAINT-ANDRE-HAB. DISP.,"3490","2",25122 RAMILLIES
25122D11-,LALOUX,"3490","2",25122 RAMILLIES
25122E00-,BOMAL-CENTRE,"3491","2",25122 RAMILLIES
25122E09-,BOMAL-HABITATIONS DISPERSEES,"3491","2",25122 RAMILLIES
25122E11-,HEDENGE-CENTRE,"3491","2",25122 RAMILLIES
25122E19-,HEDENGE-HABITATIONS DISPERSEES,"3491","2",25122 RAMILLIES
25122F00-,AUTRE-EGLISE-CENTRE,"3492","2",25122 RAMILLIES
25122F01-,PIROY,"3492","2",25122 RAMILLIES
25122F099,RAMILLIES-GARE -HAB. DISP.,"3492","2",25122 RAMILLIES
25122F10-,RAMILLES-GARE-CENTRE,"3492","2",25122 RAMILLIES
25122F20-,HEDENGE-CENTRE (AUTRE-EGLISE),"3492","2",25122 RAMILLIES
25122F29-,HEDENGE-HABITATIONS DISPERSEES,"3492","2",25122 RAMILLIES
25122G00-,HUPPAYE-CENTRE,"3493","2",25122 RAMILLIES
25122G01-,MOLEMBAIS-SAINT-PIERRE,"3493","2",25122 RAMILLIES
25122G09-,HUPPAYE-HABITATIONS DISPERSEES,"3493","2",25122 RAMILLIES
25123A00-,REBECQ-ROGNON-CENTRE,"3494","2",25123 REBECQ
25123A01-,GOBARD-PUHAIN,"3494","2",25123 REBECQ
25123A082,LES CAYOTEUS,"3494","2",25123 REBECQ
25123A091,REBECQ-ROGNON-HABIT. DISP.,"3494","2",25123 REBECQ
25123A11-,LA GENETTE,"3494","2",25123 REBECQ
25123A19-,LA GENETTE-HABITATIONS DISP.,"3494","2",25123 REBECQ
25123A29-,PIERREUX-HAUTE FRANCHISE- LES DIX BONNIERS,"3494","2",25123 REBECQ
25123A39-,BOIS DE REBECQ,"3494","2",25123 REBECQ
25123B00-,BIERGHES-CENTRE,"3495","2",25123 REBECQ
25123B01-,BIERGHES-CENTRE EST,"3495","2",25123 REBECQ
25123B022,DUC D'ARENBERG,"3495","2",25123 REBECQ
25123B081,BIERGHES -HAB. DISP.-SUD,"3495","2",25123 REBECQ
25123B091,BIERGHES -HAB. DISP.-NORD,"3495","2",25123 REBECQ
25123B112,MONT PLAISIR-BOIS DU STRIHOUX,"3495","2",25123 REBECQ
25123C00-,QUENAST-CENTRE,"3496","2",25123 REBECQ
25123C01-,GENDARMERIE,"3496","2",25123 REBECQ
25123C043,LE CHENOIS,"3496","2",25123 REBECQ
25123C07-,BUISSOT,"3496","2",25123 REBECQ
25123C082,CROEN,"3496","2",25123 REBECQ
25123C091,BOIS DU CHENOIS,"3496","2",25123 REBECQ
25123C10-,CHAUSSEE DE MONS,"3496","2",25123 REBECQ
25123C19-,COIN PERDU - BOIS-DE-NEPPE,"3496","2",25123 REBECQ
25123D02-,WISBECQ,"3497","2",25123 REBECQ
"25123D080",CROLY,"3497","2",25123 REBECQ
"25123D093",QUENESTINES,"3497","2",25123 REBECQ
25124A001,WALHAIN-SAINT-PAUL-CENTRE,"3498","3",25124 WALHAIN
25124A012,ST-PAUL,"3498","3",25124 WALHAIN
25124A090,WALHAIN-SAINT-PAUL-HAB. DISP.,"3498","3",25124 WALHAIN
25124A10-,SART-LEZ-WALHAIN-CENTRE,"3498","3",25124 WALHAIN
25124A19-,SART-LEZ-WALHAIN -HAB. DISP.,"3498","3",25124 WALHAIN
25124A20-,PERBAIS-CENTRE,"3498","3",25124 WALHAIN
25124A29-,PERBAIS-HABITATIONS DISP.,"3498","3",25124 WALHAIN
25124B00-,NIL-ST-VINCENT-ST-MARTIN-CENT.,"3499","3",25124 WALHAIN
25124B010,NIL-SAINT-MARTIN,"3499","3",25124 WALHAIN
25124B02-,NIL-ABBESSE,"3499","3",25124 WALHAIN
25124B082,LE FONDS DES VEAUX,"3499","3",25124 WALHAIN
25124B091,NIL-ST-VINCENT-ST-MARTIN - HABITATIONS DISPERSEES EST,"3499","3",25124 WALHAIN
25124B11-,NIL-PIERREUX,"3499","3",25124 WALHAIN
25124B19-,LES HAYETTES-HAB. DISP. OUEST,"3499","3",25124 WALHAIN
25124C000,TOURINNES-SAINT-LAMBERT-CENTRE,"3500","3",25124 WALHAIN
25124C01-,LIBERSART,"3500","3",25124 WALHAIN
25124C02-,COMMUNE,"3500","3",25124 WALHAIN
25124C082,LES GORLETTES -HAB. DISP.,"3500","3",25124 WALHAIN
25124C091,TOURINNES-SAINT-LAMBERT - HABITATIONS DISPERSEES SUD,"3500","3",25124 WALHAIN
25124C11-,LERINNES-CENTRE,"3500","3",25124 WALHAIN
25124C19-,LERINNES-HABITATIONS DISP.,"3500","3",25124 WALHAIN
31003A001,BEERNEM-CENTRUM,"1575","1",31003 BEERNEM
31003A012,ROLLEBAAN - KASTEELDREEF,"1575","1",31003 BEERNEM
31003A09-,BEERNEM-VERSPREIDE BEWONING,"1575","1",31003 BEERNEM
31003A10-,BLOEMENDALE - TURKIJE,"1575","1",31003 BEERNEM
31003A11-,DE DUINE - STATIONSWIJK,"1575","1",31003 BEERNEM
31003A18-,BULSKAMPVELD-BLOMMEKE-HULSTLO,"1576","1",31003 BEERNEM
31003A19-,MEERBERG - GEVAARTS,"1575","1",31003 BEERNEM
31003B000,OEDELEM-CENTRUM,"1577","1",31003 BEERNEM
31003B011,HAVERBILKEN,"1577","1",31003 BEERNEM
31003B02-,'T MOLENTJE,"1577","1",31003 BEERNEM
31003B03-,VLIEGENDE PAARD,"1577","1",31003 BEERNEM
31003B082,DOORN,"1577","1",31003 BEERNEM
31003B091,OEDELEM-VERSPREIDE BEWONING,"1577","1",31003 BEERNEM
31003B10-,OOSTVELD-KERN,"1578","1",31003 BEERNEM
31003B19-,KAPPERSHOEK - ZELDONK,"1578","1",31003 BEERNEM
31003B212,MAANDAGSE,"1577","1",31003 BEERNEM
31003B293,BOELARE - BEVERHOUTSVELD,"1577","1",31003 BEERNEM
31003C000,SINT-JORIS - CENTRUM,"1579","1",31003 BEERNEM
31003C01-,VAART - NOORD,"1579","1",31003 BEERNEM
31003C082,VIJVERS,"1579","1",31003 BEERNEM
31003C091,SINT-JORIS -VERSPR. BEW.-NOORD,"1579","1",31003 BEERNEM
31004A00-,BLANKENBERGE-CENTRUM,"1580","1",31004 BLANKENBERGE
31004A01-,KONINGINLAAN,"1581","1",31004 BLANKENBERGE
31004A02-,STATION,"1581","1",31004 BLANKENBERGE
31004A03-,DE SWERTLAAN,"1582","1",31004 BLANKENBERGE
31004A04-,MARKTWIJK,"1580","1",31004 BLANKENBERGE
31004A051,ZEEDIJK - PIER,"1581","1",31004 BLANKENBERGE
31004A082,ZEEDIJK - OOST,"1581","1",31004 BLANKENBERGE
31004A11-,SPUIKOM,"1583","1",31004 BLANKENBERGE
31004A12-,VISSERSHAVEN,"1583","1",31004 BLANKENBERGE
31004B00-,UITKERKE-CENTRUM,"1584","1",31004 BLANKENBERGE
31004B01-,COLOMBUS,"1584","1",31004 BLANKENBERGE
31004B02-,BRUGSE STEENWEG,"1584","1",31004 BLANKENBERGE
31004B03-,LINDENHOF - HOOGPLAAT,"1584","1",31004 BLANKENBERGE
31004B042,POLDER,"1584","1",31004 BLANKENBERGE
31004B053,MOLENHOEK,"1584","1",31004 BLANKENBERGE
31004B0MA,AMBACHTZONE,"1584","1",31004 BLANKENBERGE
31004B0PA,UITKERKE-VERSPREIDE BEWONING,"1584","1",31004 BLANKENBERGE
31004B114,LINDENHOF - UITBREIDING,"1584","1",31004 BLANKENBERGE
