CS01012021,T_SEC_NL,ZONENUMMER,STGB,NIS_GEM_L
6205111PQ,CANAL ALBERT IER,"3681","3",62051 HERSTAL
62051A001,HERSTAL-CENTRE,"3670","2",62051 HERSTAL
62051A002,HERSTAL-CENTRE,"3670","2",62051 HERSTAL
62051A010,LARGE VOIE,"3671","2",62051 HERSTAL
62051A02-,LICOURT-GRAND PUITS,"3671","2",62051 HERSTAL
62051A030,CRUCIFIX,"3672","2",62051 HERSTAL
62051A070,FABRIQUE NATIONALE,"3673","2",62051 HERSTAL
62051A072,FABRIQUE NATIONALE,"3672","2",62051 HERSTAL
62051A101,HOYOUX,"3670","2",62051 HERSTAL
62051A111,PETITE VOIE,"3670","2",62051 HERSTAL
62051A121,HAYENEUX,"3674","2",62051 HERSTAL
62051A13-,CORONMEUSE,"3674","2",62051 HERSTAL
62051A141,BELLE-VUE - FONDEURS,"3674","2",62051 HERSTAL
62051A142,PIED-DES-VIGNES,"3674","2",62051 HERSTAL
62051A143,SAINT-LAMBERT,"3670","2",62051 HERSTAL
62051A20-,FOXHALLE,"3670","2",62051 HERSTAL
62051A220,BASSE-PREALLE,"3674","2",62051 HERSTAL
62051A222,PETITE FOXHALLE,"3674","2",62051 HERSTAL
62051A30-,LAIXHAUT,"3670","2",62051 HERSTAL
62051A302,LAIXHAUT,"3670","2",62051 HERSTAL
62051A319,CHOIX-JURLET,"3673","2",62051 HERSTAL
62051A33-,CROIX-JURLET - RELEVE-TOI,"3673","2",62051 HERSTAL
62051A34-,SOUS-RHEES-CLOS DE KILMARNOCK,"3673","2",62051 HERSTAL
62051A40-,PONTISSE-CENTRE,"3675","2",62051 HERSTAL
62051A411,PONTISSE EST,"3672","2",62051 HERSTAL
62051A42-,PONTISSE OUEST,"3675","2",62051 HERSTAL
62051A50-,LA PREALLE - PETITE BACNURE,"3676","2",62051 HERSTAL
62051A519,HAUTE-PREALLE-THIER DES MONTS,"3676","2",62051 HERSTAL
62051A52-,PATAR - HARENG,"3677","2",62051 HERSTAL
62051A60-,HAUTE-PREALLE,"3676","2",62051 HERSTAL
62051A61-,RHEES,"3678","2",62051 HERSTAL
62051A69-,CAMPAGNE DE RHEES,"3678","2",62051 HERSTAL
62051A70-,PONTISSE NORD,"3679","2",62051 HERSTAL
62051A77-,HAUTS-SARTS,"3680","2",62051 HERSTAL
62051A87-,CANAL ALBERT,"3672","2",62051 HERSTAL
62051B001,VOTTEM-CENTRE,"3682","2",62051 HERSTAL
62051B011,PIREUX,"3682","2",62051 HERSTAL
62051B032,CROIX-JOUETTE,"3682","2",62051 HERSTAL
62051B042,SOUS-LES-HAXHES,"3682","2",62051 HERSTAL
62051B09-,TILLET,"3683","2",62051 HERSTAL
62051B0AN,QUARTIER DE LA CHAPELLE,"3683","2",62051 HERSTAL
62051B101,BOUXHTAY,"3682","2",62051 HERSTAL
62051B122,EN REDA,"3682","2",62051 HERSTAL
