osmid,landuse,ZONENUMMER,STGB,NIS_GEM,NIS_GEM_L,VREGIO,VREGIO_L,Area_calc
"90929575",residential,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.00595181423150003
"90929575",residential,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.00106343267134018
"90969086",residential,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.00216638131426275
"92206113",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0130063540621866
"92207034",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.00712265811812505
"92207035",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0113193625987805
"92326660",residential,"1497","1","24062",24062 LEUVEN,"7",LEUVEN,0.0030064273220785
"92326666",retail,"1497","1","24062",24062 LEUVEN,"7",LEUVEN,0.00972337542417739
"92326676",commercial,"1497","1","24062",24062 LEUVEN,"7",LEUVEN,0.0227188544873968
"92326688",commercial,"1497","1","24062",24062 LEUVEN,"7",LEUVEN,0.00208868126779795
"92440937",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0292294876526743
"92444153",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0148822665265948
"92503577",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0214695653696507
"92504665",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0136920550050177
"92675379",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.00704167062847316
"92676241",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.00392492379175965
"94471378",residential,"1460","1","24062",24062 LEUVEN,"7",LEUVEN,0.00383747354886805
"94511835",residential,"1497","1","24062",24062 LEUVEN,"7",LEUVEN,0.05288806389945
"96256949",residential,"1491","1","24062",24062 LEUVEN,"7",LEUVEN,0.0045473548001945
"96259637",residential,"1466","1","24062",24062 LEUVEN,"7",LEUVEN,0.19438447041592
"96354021",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.00621764971104637
"96354023",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0122309355855826
"96354027",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.00526154935610667
"96354029",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.00479456177407503
"96358393",residential,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.00395837729611434
"96358589",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0268109484887121
"96359553",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.00935840402279794
"96359555",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0103671827859902
"96359558",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0109679106896045
"96359559",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.00293985400778818
"96359562",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.00976725911806244
"96381631",residential,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.00464817787436023
"96381636",industrial,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.0115851046964005
"96381637",industrial,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.0114570113049783
"96381641",industrial,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.0632933969186246
"96381647",industrial,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.0156598262261264
"96381648",industrial,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.0253726867867243
"96409480",industrial,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.0301449298142418
"96409837",residential,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.00325571663493663
"96411149",commercial,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.00174267440696992
"96411856",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0146488222850319
"96440360",residential,"1484","1","24062",24062 LEUVEN,"7",LEUVEN,0.022490100196697
"96581936",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0117172108431794
"96581948",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0283891111263335
"96581953",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.00524371172142774
"96581954",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0310127559726611
"96769834",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0216170844747517
"96787663",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0159366244087666
"96790204",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0117086059562974
"96790217",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0177418352058949
"96791498",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0200985534028942
"96791502",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0230214974537026
"96791504",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.00595977921214374
"96918136",residential,"1470","1","24062",24062 LEUVEN,"7",LEUVEN,0.00197519151317881
"97209980",residential,"1466","1","24062",24062 LEUVEN,"7",LEUVEN,0.0205728035555892
"97209980",residential,"1491","1","24062",24062 LEUVEN,"7",LEUVEN,0.170416736208682
"97209980",residential,"1493","1","24062",24062 LEUVEN,"7",LEUVEN,0.24507869548297
"97209980",residential,"1494","1","24062",24062 LEUVEN,"7",LEUVEN,0.027859880431857
"97209980",residential,"1495","1","24062",24062 LEUVEN,"7",LEUVEN,0.317455368020721
"97875246",residential,"1484","1","24062",24062 LEUVEN,"7",LEUVEN,0.0122879862750064
"97948589",residential,"1488","1","24062",24062 LEUVEN,"7",LEUVEN,2.46975311893038e-07
"97948589",residential,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.00453478010426147
"99012286",commercial,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.00577844194913655
"101394977",residential,"1501","1","24062",24062 LEUVEN,"7",LEUVEN,0.00260249625497847
"103067323",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.0205852809474021
"103067335",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.0180842469820613
"103067337",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.0127478807530217
