osmid,landuse,ZONENUMMER,STGB,NIS_GEM,NIS_GEM_L,VREGIO,VREGIO_L,area_calc
"153272215",residential,"1632","1","31005",31005 BRUGGE,"3",BRUGGE,0.0492308617506406
"153272324",residential,"1632","1","31005",31005 BRUGGE,"3",BRUGGE,0.00520930025131069
"157629175",residential,"1636","1","31005",31005 BRUGGE,"3",BRUGGE,0.270431219675962
"157629175",residential,"1637","1","31005",31005 BRUGGE,"3",BRUGGE,0.0426104543270841
"157629176",residential,"1637","1","31005",31005 BRUGGE,"3",BRUGGE,0.0488385100479126
"157629176",residential,"1638","1","31005",31005 BRUGGE,"3",BRUGGE,0.000570615319495264
"157629177",residential,"1637","1","31005",31005 BRUGGE,"3",BRUGGE,0.126650531233445
"157629527",residential,"1636","1","31005",31005 BRUGGE,"3",BRUGGE,0.0463339993798928
"157629528",residential,"1636","1","31005",31005 BRUGGE,"3",BRUGGE,0.230885757149813
"157629678",residential,"1638","1","31005",31005 BRUGGE,"3",BRUGGE,0.0803732362560673
"157629679",residential,"1640","1","31005",31005 BRUGGE,"3",BRUGGE,0.359805065409199
"157629856",residential,"1636","1","31005",31005 BRUGGE,"3",BRUGGE,0.381101888065638
"157629969",residential,"1636","1","31005",31005 BRUGGE,"3",BRUGGE,0.015738059663909
"157630225",residential,"1636","1","31005",31005 BRUGGE,"3",BRUGGE,0.0956509682901842
"159171671",residential,"1631","1","31005",31005 BRUGGE,"3",BRUGGE,0.0261991134396028
"159174231",residential,"1631","1","31005",31005 BRUGGE,"3",BRUGGE,0.0842935253227527
"159196628",residential,"1639","1","31005",31005 BRUGGE,"3",BRUGGE,0.0417492412090921
"159204548",residential,"1639","1","31005",31005 BRUGGE,"3",BRUGGE,0.0854792985685547
"159209363",residential,"1639","1","31005",31005 BRUGGE,"3",BRUGGE,0.134056135970463
"159211942",residential,"1631","1","31005",31005 BRUGGE,"3",BRUGGE,0.0726183946354631
"159211942",residential,"1635","1","31005",31005 BRUGGE,"3",BRUGGE,0.454742117558461
"159211942",residential,"1639","1","31005",31005 BRUGGE,"3",BRUGGE,0.221608399456406
"159216649",residential,"1639","1","31005",31005 BRUGGE,"3",BRUGGE,0.284350666398633
"159216655",residential,"1639","1","31005",31005 BRUGGE,"3",BRUGGE,0.020407246037513
"159223995",residential,"1633","1","31005",31005 BRUGGE,"3",BRUGGE,0.0679382420726852
"159223995",residential,"1636","1","31005",31005 BRUGGE,"3",BRUGGE,0.0808938255367102
"159225550",residential,"1633","1","31005",31005 BRUGGE,"3",BRUGGE,0.0905687104494499
"159227103",residential,"1633","1","31005",31005 BRUGGE,"3",BRUGGE,0.152216367657186
"159227103",residential,"1642","1","31005",31005 BRUGGE,"3",BRUGGE,0.142033319857597
"159232126",residential,"1642","1","31005",31005 BRUGGE,"3",BRUGGE,0.538175475110333
"159494780",residential,"1637","1","31005",31005 BRUGGE,"3",BRUGGE,0.0390303383724317
"159495059",residential,"1637","1","31005",31005 BRUGGE,"3",BRUGGE,0.126475788918575
"160171375",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.602803329103807
"160281039",residential,"1594","1","31005",31005 BRUGGE,"3",BRUGGE,0.139781117794208
"160281039",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.0677583998647949
"160282018",residential,"1591","1","31005",31005 BRUGGE,"3",BRUGGE,0.068238983828478
"160282861",residential,"1590","1","31005",31005 BRUGGE,"3",BRUGGE,0.126655453308612
"160282862",residential,"1589","1","31005",31005 BRUGGE,"3",BRUGGE,0.23017824242513
"160282866",residential,"1590","1","31005",31005 BRUGGE,"3",BRUGGE,0.000164575113132596
"160282866",residential,"1591","1","31005",31005 BRUGGE,"3",BRUGGE,0.0379536134726834
"160921562",industrial,"1641","1","31005",31005 BRUGGE,"3",BRUGGE,0.199337577688079
"161256178",residential,"1590","1","31005",31005 BRUGGE,"3",BRUGGE,0.0351767821792159
"161256179",residential,"1590","1","31005",31005 BRUGGE,"3",BRUGGE,0.0569021552770692
"164091245",residential,"1620","1","31005",31005 BRUGGE,"3",BRUGGE,0.0109598541613296
"164091245",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.0221664395221007
"164091245",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,1.20332912667859
"171980123",retail,"1620","1","31005",31005 BRUGGE,"3",BRUGGE,0.00135097984834015
"171980124",retail,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.0029767247229442
"171980125",retail,"1620","1","31005",31005 BRUGGE,"3",BRUGGE,0.0462991452283123
"171980354",retail,"1620","1","31005",31005 BRUGGE,"3",BRUGGE,0.0189900663482025
"179745622",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.00109004538829252
"192291863",residential,"1592","1","31005",31005 BRUGGE,"3",BRUGGE,0.00450442890961841
"198150374",residential,"1600","1","31005",31005 BRUGGE,"3",BRUGGE,0.0046642338146066
"198150374",residential,"1639","1","31005",31005 BRUGGE,"3",BRUGGE,0.0191063132832885
"198150374",residential,"1640","1","31005",31005 BRUGGE,"3",BRUGGE,0.292321144994333
"223674441",recreation_ground,"1633","1","31005",31005 BRUGGE,"3",BRUGGE,0.0106002765206173
"224993816",industrial,"1602","1","31005",31005 BRUGGE,"3",BRUGGE,0.689267027976512
"224993828",industrial,"1595","1","31005",31005 BRUGGE,"3",BRUGGE,0.00176285911593586
"224993828",industrial,"1602","1","31005",31005 BRUGGE,"3",BRUGGE,1.48892268431519
"224993828",industrial,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.00060747736177966
"240393345",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.805626549652004
"244460825",industrial,"1632","1","31005",31005 BRUGGE,"3",BRUGGE,0.394407703985374
"244462910",industrial,"1633","1","31005",31005 BRUGGE,"3",BRUGGE,0.12462597977897
"244727272",industrial,"1602","1","31005",31005 BRUGGE,"3",BRUGGE,0.053223751016156
"244968775",commercial,"1591","1","31005",31005 BRUGGE,"3",BRUGGE,0.100635306794794
"244968775",commercial,"1595","1","31005",31005 BRUGGE,"3",BRUGGE,0.898936862573658
"244968775",commercial,"1602","1","31005",31005 BRUGGE,"3",BRUGGE,0.212931678149893
"245812528",residential,"1643","1","31005",31005 BRUGGE,"3",BRUGGE,0.0058619098465608
"281780839",residential,"1591","1","31005",31005 BRUGGE,"3",BRUGGE,0.135479288247179
"281785220",residential,"1602","1","31005",31005 BRUGGE,"3",BRUGGE,0.00741059133789688
"281785764",residential,"1602","1","31005",31005 BRUGGE,"3",BRUGGE,0.0037221740155071
"284962932",residential,"1591","1","31005",31005 BRUGGE,"3",BRUGGE,0.00878205855925474
"300573312",recreation_ground,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.0071092095400989
"313451432",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.01281405893692
"313451442",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.000510660330601036
"313451456",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.0235178231311161
"313451461",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,4.25669469162822e-05
"313583969",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.0359377911338452
"313583977",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.00125238098354731
"313583979",residential,"1626","1","31005",31005 BRUGGE,"3",BRUGGE,0.00138441352088004
"313583983",retail,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.0057793514641542
"313693780",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.00171295927219652
"313717343",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.00321176137087448
"313717345",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.0253999440943971
"313717347",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.0098116811645627
