Origin,Destination,Date range: 2021-01-04 - 2021-01-29 Time range: 07:00 - 09:00
Region 14,Region 6,1
Region 14,Region 7,3
Region 14,Region 8,0
Region 14,Region 9,12
Region 14,Region 10,0
Region 14,Region 11,0
Region 14,Region 12,3
Region 14,Region 13,17
Region 14,Region 14,25
Region 14,Region 15,14
Region 14,Region 16,10
Region 14,Region 17,60
Region 14,Region 18,11
Region 14,Region 19,7
Region 14,Region 20,8
Region 14,Region 21,2
Region 14,Region 22,7
Region 14,Region 23,10
Region 14,Region 24,6
Region 14,Region 25,1
Region 14,Region 26,0
Region 14,Region 27,31
Region 14,Region 28,7
Region 14,Region 29,9
Region 14,Region 30,10
Region 14,Region 31,1
Region 14,Region 32,7
Region 14,Region 33,24
Region 14,Region 34,8
Region 14,Region 35,191
Region 14,Region 36,3
Region 14,Region 37,18
Region 14,Region 38,20
Region 14,Region 39,19
Region 14,Region 40,16
Region 14,Region 41,1
Region 14,Region 42,46
Region 14,Region 43,3
Region 14,Region 44,1
Region 15,Region 1,5
Region 15,Region 2,22
Region 15,Region 3,9
Region 15,Region 4,13
Region 15,Region 5,0
Region 15,Region 6,0
Region 15,Region 7,0
Region 15,Region 8,0
Region 15,Region 9,14
Region 15,Region 10,0
Region 15,Region 11,0
Region 15,Region 12,2
Region 15,Region 13,12
Region 15,Region 14,16
Region 15,Region 15,15
Region 15,Region 16,8
Region 15,Region 17,98
Region 15,Region 18,4
Region 15,Region 19,4
Region 15,Region 20,10
Region 15,Region 21,1
Region 15,Region 22,2
Region 15,Region 23,6
Region 15,Region 24,6
Region 15,Region 25,0
Region 15,Region 26,0
Region 15,Region 27,11
Region 15,Region 28,3
Region 15,Region 29,9
Region 15,Region 30,7
Region 15,Region 31,0
Region 15,Region 32,2
Region 15,Region 33,14
Region 15,Region 34,4
Region 15,Region 35,40
Region 15,Region 36,10
Region 15,Region 37,12
Region 15,Region 38,22
Region 15,Region 39,21
Region 15,Region 40,9
Region 15,Region 41,0
Region 15,Region 42,15
Region 15,Region 43,3
Region 15,Region 44,0
Region 16,Region 1,2
Region 16,Region 2,23
Region 16,Region 3,1
Region 16,Region 4,7
Region 16,Region 5,1
Region 16,Region 6,1
Region 16,Region 7,2
Region 16,Region 8,1
Region 16,Region 9,84
Region 16,Region 10,0
Region 16,Region 11,0
Region 16,Region 12,2
Region 16,Region 13,13
Region 16,Region 14,11
Region 16,Region 15,16
Region 16,Region 16,13
Region 16,Region 17,73
Region 16,Region 18,7
Region 16,Region 19,4
Region 16,Region 20,18
Region 16,Region 21,3
Region 16,Region 22,2
Region 16,Region 23,0
Region 16,Region 24,5
Region 16,Region 25,3
Region 16,Region 26,0
Region 16,Region 27,22
Region 16,Region 28,1
Region 16,Region 29,8
Region 16,Region 30,6
Region 16,Region 31,1
Region 16,Region 32,0
Region 16,Region 33,5
Region 16,Region 34,1
Region 16,Region 35,140
Region 16,Region 36,3
Region 16,Region 37,10
Region 16,Region 38,6
Region 16,Region 39,11
Region 16,Region 40,6
Region 16,Region 41,1
Region 16,Region 42,18
Region 16,Region 43,4
Region 16,Region 44,4
Region 17,Region 1,28
Region 17,Region 2,209
Region 17,Region 3,128
Region 17,Region 4,91
Region 17,Region 5,248
Region 17,Region 6,43
Region 17,Region 7,38
Region 17,Region 8,66
Region 17,Region 9,2091
Region 17,Region 10,34
Region 17,Region 11,23
Region 17,Region 12,154
Region 17,Region 13,191
Region 17,Region 14,184
Region 17,Region 15,309
Region 17,Region 16,243
Region 17,Region 17,6035
Region 17,Region 18,581
Region 17,Region 19,305
Region 17,Region 20,512
Region 17,Region 21,58
Region 17,Region 22,19
Region 17,Region 23,40
Region 17,Region 24,165
Region 17,Region 25,27
Region 17,Region 26,22
Region 17,Region 27,232
Region 17,Region 28,137
Region 17,Region 29,176
Region 17,Region 30,73
Region 17,Region 31,65
Region 17,Region 32,55
Region 17,Region 33,281
Region 17,Region 34,323
Region 17,Region 35,9562
Region 17,Region 36,64
Region 17,Region 37,1161
Region 17,Region 38,140
Region 17,Region 39,181
Region 17,Region 40,80
Region 17,Region 41,4
Region 17,Region 42,983
Region 17,Region 43,579
Region 17,Region 44,358
Region 18,Region 1,2
Region 18,Region 2,10
Region 18,Region 3,1
Region 18,Region 4,1
Region 18,Region 5,30
Region 18,Region 6,2
Region 18,Region 7,1
Region 18,Region 8,1
Region 18,Region 9,66
Region 18,Region 10,0
Region 18,Region 11,2
Region 18,Region 12,5
Region 18,Region 13,10
Region 18,Region 14,3
Region 18,Region 15,12
Region 18,Region 16,10
Region 18,Region 17,325
Region 18,Region 18,67
Region 18,Region 19,15
Region 18,Region 20,37
Region 18,Region 21,3
Region 18,Region 22,1
Region 18,Region 23,8
Region 18,Region 24,25
Region 18,Region 25,4
Region 18,Region 26,0
Region 18,Region 27,6
Region 18,Region 28,1
Region 18,Region 29,10
Region 18,Region 30,2
Region 18,Region 31,1
Region 18,Region 32,3
Region 18,Region 33,12
Region 18,Region 34,5
Region 18,Region 35,268
Region 18,Region 36,3
Region 18,Region 37,29
Region 18,Region 38,3
Region 18,Region 39,8
Region 18,Region 40,13
Region 18,Region 41,1
Region 18,Region 42,47
Region 18,Region 43,41
Region 18,Region 44,47
Region 19,Region 1,0
Region 19,Region 2,4
Region 19,Region 3,14
Region 19,Region 4,7
Region 19,Region 5,4
Region 19,Region 6,1
Region 19,Region 7,2
Region 19,Region 8,1
Region 19,Region 9,91
Region 19,Region 10,2
Region 19,Region 11,0
