Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 11,Region 11,30
Region 11,Region 12,3
Region 11,Region 13,3
Region 11,Region 14,5
Region 11,Region 15,2
Region 11,Region 16,0
Region 11,Region 17,2
Region 11,Region 18,0
Region 11,Region 19,2
Region 11,Region 20,2
Region 11,Region 21,0
Region 11,Region 22,3
Region 11,Region 23,0
Region 11,Region 24,3
Region 11,Region 25,0
Region 11,Region 26,1
Region 11,Region 27,6
Region 11,Region 28,9
Region 11,Region 29,2
Region 11,Region 30,8
Region 11,External,87
Region 12,Region 1,3
Region 12,Region 2,1
Region 12,Region 3,0
Region 12,Region 4,1
Region 12,Region 5,3
Region 12,Region 6,3
Region 12,Region 7,0
Region 12,Region 8,0
Region 12,Region 9,10
Region 12,Region 10,1
Region 12,Region 11,1
Region 12,Region 12,19
Region 12,Region 13,1
Region 12,Region 14,3
Region 12,Region 15,6
Region 12,Region 16,1
Region 12,Region 17,2
Region 12,Region 18,1
Region 12,Region 19,1
Region 12,Region 20,2
Region 12,Region 21,1
Region 12,Region 22,6
Region 12,Region 23,0
Region 12,Region 24,3
Region 12,Region 25,0
Region 12,Region 26,0
Region 12,Region 27,0
Region 12,Region 28,3
Region 12,Region 29,1
Region 12,Region 30,6
Region 12,External,48
Region 13,Region 1,0
Region 13,Region 2,5
Region 13,Region 3,0
Region 13,Region 4,0
Region 13,Region 5,3
Region 13,Region 6,1
Region 13,Region 7,0
Region 13,Region 8,1
Region 13,Region 9,2
Region 13,Region 10,1
Region 13,Region 11,2
Region 13,Region 12,1
Region 13,Region 13,7
Region 13,Region 14,2
Region 13,Region 15,0
Region 13,Region 16,0
Region 13,Region 17,7
Region 13,Region 18,0
Region 13,Region 19,0
Region 13,Region 20,5
Region 13,Region 21,1
Region 13,Region 22,3
Region 13,Region 23,0
Region 13,Region 24,0
Region 13,Region 25,0
Region 13,Region 26,0
Region 13,Region 27,1
Region 13,Region 28,6
Region 13,Region 29,0
Region 13,Region 30,0
Region 13,External,45
Region 14,Region 1,6
Region 14,Region 2,2
Region 14,Region 3,3
Region 14,Region 4,1
Region 14,Region 5,6
Region 14,Region 6,2
Region 14,Region 7,1
Region 14,Region 8,1
Region 14,Region 9,0
Region 14,Region 10,1
Region 14,Region 11,2
Region 14,Region 12,0
Region 14,Region 13,0
Region 14,Region 14,3
Region 14,Region 15,1
Region 14,Region 16,0
Region 14,Region 17,0
Region 14,Region 18,0
Region 14,Region 19,0
Region 14,Region 20,8
Region 14,Region 21,0
Region 14,Region 22,0
Region 14,Region 23,0
Region 14,Region 24,2
Region 14,Region 25,0
Region 14,Region 26,0
Region 14,Region 27,2
Region 14,Region 28,1
Region 14,Region 29,0
Region 14,Region 30,2
Region 14,External,20
Region 15,Region 1,1
Region 15,Region 2,2
Region 15,Region 3,0
Region 15,Region 4,2
Region 15,Region 5,0
Region 15,Region 6,1
Region 15,Region 7,0
Region 15,Region 8,1
Region 15,Region 9,2
Region 15,Region 10,3
Region 15,Region 11,1
Region 15,Region 12,7
Region 15,Region 13,0
Region 15,Region 14,3
Region 15,Region 15,12
Region 15,Region 16,1
Region 15,Region 17,2
Region 15,Region 18,0
Region 15,Region 19,7
Region 15,Region 20,3
Region 15,Region 21,1
Region 15,Region 22,4
Region 15,Region 23,0
Region 15,Region 24,2
Region 15,Region 25,0
Region 15,Region 26,0
Region 15,Region 27,2
Region 15,Region 28,6
Region 15,Region 29,0
Region 15,Region 30,5
Region 15,External,42
Region 16,Region 1,0
Region 16,Region 2,0
Region 16,Region 3,0
Region 16,Region 4,0
Region 16,Region 5,2
Region 16,Region 6,0
Region 16,Region 7,0
Region 16,Region 8,0
Region 16,Region 9,0
Region 16,Region 10,0
Region 16,Region 11,0
Region 16,Region 12,0
Region 16,Region 13,0
Region 16,Region 14,3
Region 16,Region 15,0
Region 16,Region 16,0
Region 16,Region 17,0
Region 16,Region 18,1
Region 16,Region 19,0
Region 16,Region 20,2
Region 16,Region 21,0
Region 16,Region 22,0
Region 16,Region 23,0
Region 16,Region 24,0
Region 16,Region 25,0
Region 16,Region 26,0
Region 16,Region 27,0
Region 16,Region 28,0
Region 16,Region 29,0
Region 16,Region 30,0
Region 16,External,2
Region 17,Region 1,0
Region 17,Region 2,1
Region 17,Region 3,2
Region 17,Region 4,1
Region 17,Region 5,0
Region 17,Region 6,0
Region 17,Region 7,0
Region 17,Region 8,0
Region 17,Region 9,2
Region 17,Region 10,0
Region 17,Region 11,2
Region 17,Region 12,0
Region 17,Region 13,2
Region 17,Region 14,2
Region 17,Region 15,0
Region 17,Region 16,0
Region 17,Region 17,3
Region 17,Region 18,0
Region 17,Region 19,0
