Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 13,Region 7,6
Region 13,Region 8,5
Region 13,Region 9,2
Region 13,Region 10,30
Region 13,Region 11,6
Region 13,Region 12,3
Region 13,Region 13,16
Region 13,Region 14,9
Region 13,Region 15,5
Region 13,Region 16,3
Region 13,Region 17,1
Region 13,Region 18,5
Region 13,Region 19,0
Region 13,Region 20,2
Region 13,Region 21,2
Region 13,Region 22,29
Region 13,Region 23,2
Region 13,Region 24,14
Region 13,Region 25,0
Region 13,Region 26,2
Region 13,Region 27,27
Region 13,Region 28,4
Region 13,Region 29,0
Region 13,Region 30,1
Region 13,Region 31,4
Region 13,Region 32,1
Region 13,Region 33,60
Region 13,Region 34,2
Region 13,Region 35,5
Region 14,Region 1,1
Region 14,Region 2,0
Region 14,Region 3,5
Region 14,Region 4,3
Region 14,Region 5,3
Region 14,Region 6,12
Region 14,Region 7,3
Region 14,Region 8,10
Region 14,Region 9,2
Region 14,Region 10,47
Region 14,Region 11,10
Region 14,Region 12,6
Region 14,Region 13,15
Region 14,Region 14,20
Region 14,Region 15,11
Region 14,Region 16,8
Region 14,Region 17,5
Region 14,Region 18,11
Region 14,Region 19,0
Region 14,Region 20,2
Region 14,Region 21,1
Region 14,Region 22,18
Region 14,Region 23,2
Region 14,Region 24,19
Region 14,Region 25,0
Region 14,Region 26,3
Region 14,Region 27,29
Region 14,Region 28,15
Region 14,Region 29,3
Region 14,Region 30,1
Region 14,Region 31,11
Region 14,Region 32,0
Region 14,Region 33,111
Region 14,Region 34,3
Region 14,Region 35,10
Region 15,Region 1,1
Region 15,Region 2,1
Region 15,Region 3,0
Region 15,Region 4,4
Region 15,Region 5,1
Region 15,Region 6,1
Region 15,Region 7,1
Region 15,Region 8,1
Region 15,Region 9,1
Region 15,Region 10,3
Region 15,Region 11,0
Region 15,Region 12,1
Region 15,Region 13,3
Region 15,Region 14,7
Region 15,Region 15,17
Region 15,Region 16,10
Region 15,Region 17,1
Region 15,Region 18,7
Region 15,Region 19,1
Region 15,Region 20,5
Region 15,Region 21,1
Region 15,Region 22,13
Region 15,Region 23,2
Region 15,Region 24,14
Region 15,Region 25,1
Region 15,Region 26,1
Region 15,Region 27,9
Region 15,Region 28,7
Region 15,Region 29,1
Region 15,Region 30,4
Region 15,Region 31,0
Region 15,Region 32,1
Region 15,Region 33,38
Region 15,Region 34,2
Region 15,Region 35,1
Region 16,Region 1,0
Region 16,Region 2,2
Region 16,Region 3,2
Region 16,Region 4,2
Region 16,Region 5,0
Region 16,Region 6,10
Region 16,Region 7,3
Region 16,Region 8,8
Region 16,Region 9,3
Region 16,Region 10,14
Region 16,Region 11,4
Region 16,Region 12,5
Region 16,Region 13,2
Region 16,Region 14,9
Region 16,Region 15,7
Region 16,Region 16,21
Region 16,Region 17,1
Region 16,Region 18,12
Region 16,Region 19,1
Region 16,Region 20,0
Region 16,Region 21,5
Region 16,Region 22,33
Region 16,Region 23,2
Region 16,Region 24,34
Region 16,Region 25,4
Region 16,Region 26,2
Region 16,Region 27,12
Region 16,Region 28,14
Region 16,Region 29,3
Region 16,Region 30,0
Region 16,Region 31,2
Region 16,Region 32,1
Region 16,Region 33,53
Region 16,Region 34,5
Region 16,Region 35,3
Region 17,Region 1,1
Region 17,Region 2,0
Region 17,Region 3,1
Region 17,Region 4,2
Region 17,Region 5,1
Region 17,Region 6,2
Region 17,Region 7,2
Region 17,Region 8,0
Region 17,Region 9,0
Region 17,Region 10,2
Region 17,Region 11,0
Region 17,Region 12,2
Region 17,Region 13,0
Region 17,Region 14,3
Region 17,Region 15,0
Region 17,Region 16,2
Region 17,Region 17,2
Region 17,Region 18,1
Region 17,Region 19,0
Region 17,Region 20,0
Region 17,Region 21,0
Region 17,Region 22,1
Region 17,Region 23,0
Region 17,Region 24,1
Region 17,Region 25,0
Region 17,Region 26,0
Region 17,Region 27,1
Region 17,Region 28,6
Region 17,Region 29,0
Region 17,Region 30,1
Region 17,Region 31,0
Region 17,Region 32,0
Region 17,Region 33,9
Region 17,Region 34,1
Region 17,Region 35,0
Region 18,Region 1,5
Region 18,Region 2,9
Region 18,Region 3,5
Region 18,Region 4,14
Region 18,Region 5,9
Region 18,Region 6,21
Region 18,Region 7,5
Region 18,Region 8,0
Region 18,Region 9,1
Region 18,Region 10,24
Region 18,Region 11,7
Region 18,Region 12,11
Region 18,Region 13,0
Region 18,Region 14,5
Region 18,Region 15,4
Region 18,Region 16,9
Region 18,Region 17,3
Region 18,Region 18,60
Region 18,Region 19,20
Region 18,Region 20,5
Region 18,Region 21,68
Region 18,Region 22,25
Region 18,Region 23,6
Region 18,Region 24,117
Region 18,Region 25,14
Region 18,Region 26,3
Region 18,Region 27,26
Region 18,Region 28,10
Region 18,Region 29,3
Region 18,Region 30,11
Region 18,Region 31,0
Region 18,Region 32,1
Region 18,Region 33,64
Region 18,Region 34,4
Region 18,Region 35,2
Region 19,Region 1,0
Region 19,Region 2,2
Region 19,Region 3,1
Region 19,Region 4,3
Region 19,Region 5,1
Region 19,Region 6,3
Region 19,Region 7,1
Region 19,Region 8,5
Region 19,Region 9,0
Region 19,Region 10,3
Region 19,Region 11,0
Region 19,Region 12,2
Region 19,Region 13,1
Region 19,Region 14,4
Region 19,Region 15,1
Region 19,Region 16,4
Region 19,Region 17,0
Region 19,Region 18,15
Region 19,Region 19,40
Region 19,Region 20,9
Region 19,Region 21,42
Region 19,Region 22,4
Region 19,Region 23,0
Region 19,Region 24,32
Region 19,Region 25,12
Region 19,Region 26,1
Region 19,Region 27,14
Region 19,Region 28,5
Region 19,Region 29,1
Region 19,Region 30,1
Region 19,Region 31,0
Region 19,Region 32,2
Region 19,Region 33,9
Region 19,Region 34,2
Region 19,Region 35,2
Region 20,Region 1,0
Region 20,Region 2,0
Region 20,Region 3,1
Region 20,Region 4,3
Region 20,Region 5,0
Region 20,Region 6,4
Region 20,Region 7,3
Region 20,Region 8,1
Region 20,Region 9,0
Region 20,Region 10,3
Region 20,Region 11,0
Region 20,Region 12,3
Region 20,Region 13,0
Region 20,Region 14,2
Region 20,Region 15,6
Region 20,Region 16,2
Region 20,Region 17,0
Region 20,Region 18,7
Region 20,Region 19,10
Region 20,Region 20,38
Region 20,Region 21,26
Region 20,Region 22,7
Region 20,Region 23,1
Region 20,Region 24,8
Region 20,Region 25,2
Region 20,Region 26,1
Region 20,Region 27,3
Region 20,Region 28,1
Region 20,Region 29,0
Region 20,Region 30,0
Region 20,Region 31,0
Region 20,Region 32,0
Region 20,Region 33,3
Region 20,Region 34,1
Region 20,Region 35,0
Region 21,Region 1,2
Region 21,Region 2,7
Region 21,Region 3,4
Region 21,Region 4,21
Region 21,Region 5,3
Region 21,Region 6,31
Region 21,Region 7,5
Region 21,Region 8,0
Region 21,Region 9,1
Region 21,Region 10,9
Region 21,Region 11,2
Region 21,Region 12,7
Region 21,Region 13,4
Region 21,Region 14,25
Region 21,Region 15,8
Region 21,Region 16,18
Region 21,Region 17,3
Region 21,Region 18,70
Region 21,Region 19,75
Region 21,Region 20,16
Region 21,Region 21,81
Region 21,Region 22,15
Region 21,Region 23,0
Region 21,Region 24,17
Region 21,Region 25,9
Region 21,Region 26,3
Region 21,Region 27,7
Region 21,Region 28,15
Region 21,Region 29,0
Region 21,Region 30,6
Region 21,Region 31,0
Region 21,Region 32,0
Region 21,Region 33,24
Region 21,Region 34,2
Region 21,Region 35,2
Region 22,Region 1,6
Region 22,Region 2,14
Region 22,Region 3,26
Region 22,Region 4,116
Region 22,Region 5,9
Region 22,Region 6,108
Region 22,Region 7,56
Region 22,Region 8,12
Region 22,Region 9,10
Region 22,Region 10,112
Region 22,Region 11,2
Region 22,Region 12,5
Region 22,Region 13,17
Region 22,Region 14,32
Region 22,Region 15,12
Region 22,Region 16,19
Region 22,Region 17,14
Region 22,Region 18,39
Region 22,Region 19,14
Region 22,Region 20,5
Region 22,Region 21,8
Region 22,Region 22,299
Region 22,Region 23,2
Region 22,Region 24,61
Region 22,Region 25,2
Region 22,Region 26,14
Region 22,Region 27,51
Region 22,Region 28,25
Region 22,Region 29,3
Region 22,Region 30,2
Region 22,Region 31,0
Region 22,Region 32,0
Region 22,Region 33,52
Region 22,Region 34,6
Region 22,Region 35,13
Region 23,Region 1,2
Region 23,Region 2,0
Region 23,Region 3,5
Region 23,Region 4,5
Region 23,Region 5,1
Region 23,Region 6,4
Region 23,Region 7,7
Region 23,Region 8,6
Region 23,Region 9,9
Region 23,Region 10,48
Region 23,Region 11,1
Region 23,Region 12,2
Region 23,Region 13,8
Region 23,Region 14,2
Region 23,Region 15,3
Region 23,Region 16,3
Region 23,Region 17,1
Region 23,Region 18,15
Region 23,Region 19,2
Region 23,Region 20,0
Region 23,Region 21,3
Region 23,Region 22,21
Region 23,Region 23,24
Region 23,Region 24,7
Region 23,Region 25,1
Region 23,Region 26,8
Region 23,Region 27,37
Region 23,Region 28,17
Region 23,Region 29,1
Region 23,Region 30,2
Region 23,Region 31,2
Region 23,Region 32,4
Region 23,Region 33,64
Region 23,Region 34,0
Region 23,Region 35,4
Region 24,Region 1,19
Region 24,Region 2,17
Region 24,Region 3,7
Region 24,Region 4,81
Region 24,Region 5,13
Region 24,Region 6,147
Region 24,Region 7,25
Region 24,Region 8,10
Region 24,Region 9,12
Region 24,Region 10,78
Region 24,Region 11,5
Region 24,Region 12,24
Region 24,Region 13,18
Region 24,Region 14,57
Region 24,Region 15,28
Region 24,Region 16,25
Region 24,Region 17,13
Region 24,Region 18,193
Region 24,Region 19,76
Region 24,Region 20,13
Region 24,Region 21,27
Region 24,Region 22,127
Region 24,Region 23,6
Region 24,Region 24,473
Region 24,Region 25,97
Region 24,Region 26,21
Region 24,Region 27,67
Region 24,Region 28,20
Region 24,Region 29,3
Region 24,Region 30,27
Region 24,Region 31,3
Region 24,Region 32,4
Region 24,Region 33,27
