Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 19,Region 9,0
Region 19,Region 10,3
Region 19,Region 11,0
Region 19,Region 12,2
Region 19,Region 13,1
Region 19,Region 14,1
Region 19,Region 15,0
Region 19,Region 16,3
Region 19,Region 17,0
Region 19,Region 18,8
Region 19,Region 19,15
Region 19,Region 20,3
Region 19,Region 21,8
Region 19,Region 22,1
Region 19,Region 23,0
Region 19,Region 24,8
Region 19,Region 25,4
Region 19,Region 26,1
Region 19,Region 27,0
Region 19,Region 28,3
Region 19,Region 29,1
Region 19,Region 30,1
Region 19,Region 31,0
Region 19,Region 32,2
Region 19,Region 33,1
Region 19,Region 34,0
Region 19,Region 35,1
Region 19,External,64
Region 20,Region 1,0
Region 20,Region 2,0
Region 20,Region 3,0
Region 20,Region 4,2
Region 20,Region 5,0
Region 20,Region 6,1
Region 20,Region 7,2
Region 20,Region 8,1
Region 20,Region 9,0
Region 20,Region 10,1
Region 20,Region 11,0
Region 20,Region 12,3
Region 20,Region 13,0
Region 20,Region 14,0
Region 20,Region 15,4
Region 20,Region 16,1
Region 20,Region 17,0
Region 20,Region 18,2
Region 20,Region 19,6
Region 20,Region 20,3
Region 20,Region 21,3
Region 20,Region 22,2
Region 20,Region 23,0
Region 20,Region 24,0
Region 20,Region 25,0
Region 20,Region 26,0
Region 20,Region 27,0
Region 20,Region 28,0
Region 20,Region 29,0
Region 20,Region 30,0
Region 20,Region 31,0
Region 20,Region 32,0
Region 20,Region 33,0
Region 20,Region 34,0
Region 20,Region 35,0
Region 20,External,16
Region 21,Region 1,0
Region 21,Region 2,1
Region 21,Region 3,0
Region 21,Region 4,3
Region 21,Region 5,1
Region 21,Region 6,2
Region 21,Region 7,1
Region 21,Region 8,0
Region 21,Region 9,1
Region 21,Region 10,6
Region 21,Region 11,0
Region 21,Region 12,1
Region 21,Region 13,2
Region 21,Region 14,1
Region 21,Region 15,0
Region 21,Region 16,2
Region 21,Region 17,0
Region 21,Region 18,10
Region 21,Region 19,15
Region 21,Region 20,0
Region 21,Region 21,4
Region 21,Region 22,1
Region 21,Region 23,0
Region 21,Region 24,0
Region 21,Region 25,4
Region 21,Region 26,0
Region 21,Region 27,0
Region 21,Region 28,7
Region 21,Region 29,0
Region 21,Region 30,0
Region 21,Region 31,0
Region 21,Region 32,0
Region 21,Region 33,0
Region 21,Region 34,0
Region 21,Region 35,1
Region 21,External,45
Region 22,Region 1,0
Region 22,Region 2,1
Region 22,Region 3,0
Region 22,Region 4,10
Region 22,Region 5,0
Region 22,Region 6,7
Region 22,Region 7,7
Region 22,Region 8,1
Region 22,Region 9,1
Region 22,Region 10,16
Region 22,Region 11,1
Region 22,Region 12,0
Region 22,Region 13,0
Region 22,Region 14,3
Region 22,Region 15,0
Region 22,Region 16,0
Region 22,Region 17,0
Region 22,Region 18,8
Region 22,Region 19,1
Region 22,Region 20,2
Region 22,Region 21,2
Region 22,Region 22,11
Region 22,Region 23,0
Region 22,Region 24,0
Region 22,Region 25,0
Region 22,Region 26,0
Region 22,Region 27,2
Region 22,Region 28,6
Region 22,Region 29,0
Region 22,Region 30,0
Region 22,Region 31,0
Region 22,Region 32,0
Region 22,Region 33,0
Region 22,Region 34,0
Region 22,Region 35,2
Region 22,External,117
Region 23,Region 1,2
Region 23,Region 2,0
Region 23,Region 3,5
Region 23,Region 4,5
Region 23,Region 5,1
Region 23,Region 6,2
Region 23,Region 7,5
Region 23,Region 8,3
Region 23,Region 9,6
Region 23,Region 10,12
Region 23,Region 11,1
Region 23,Region 12,2
Region 23,Region 13,5
Region 23,Region 14,2
Region 23,Region 15,2
Region 23,Region 16,2
Region 23,Region 17,1
Region 23,Region 18,14
Region 23,Region 19,1
Region 23,Region 20,0
Region 23,Region 21,0
Region 23,Region 22,4
Region 23,Region 23,23
Region 23,Region 24,0
Region 23,Region 25,1
Region 23,Region 26,1
Region 23,Region 27,3
Region 23,Region 28,12
Region 23,Region 29,0
Region 23,Region 30,2
Region 23,Region 31,0
Region 23,Region 32,0
Region 23,Region 33,0
Region 23,Region 34,0
Region 23,Region 35,2
Region 23,External,114
Region 24,Region 1,1
Region 24,Region 2,0
Region 24,Region 3,0
Region 24,Region 4,7
Region 24,Region 5,2
Region 24,Region 6,8
Region 24,Region 7,1
Region 24,Region 8,0
Region 24,Region 9,0
Region 24,Region 10,3
Region 24,Region 11,0
Region 24,Region 12,0
Region 24,Region 13,2
Region 24,Region 14,0
Region 24,Region 15,3
Region 24,Region 16,4
Region 24,Region 17,2
Region 24,Region 18,33
Region 24,Region 19,8
Region 24,Region 20,1
Region 24,Region 21,0
Region 24,Region 22,8
Region 24,Region 23,1
Region 24,Region 24,35
Region 24,Region 25,10
Region 24,Region 26,0
Region 24,Region 27,0
Region 24,Region 28,10
Region 24,Region 29,1
Region 24,Region 30,12
Region 24,Region 31,0
Region 24,Region 32,0
Region 24,Region 33,2
Region 24,Region 34,1
Region 24,Region 35,1
Region 24,External,122
Region 25,Region 1,1
Region 25,Region 2,0
Region 25,Region 3,0
Region 25,Region 4,1
Region 25,Region 5,0
Region 25,Region 6,3
Region 25,Region 7,0
Region 25,Region 8,0
Region 25,Region 9,0
Region 25,Region 10,3
Region 25,Region 11,0
Region 25,Region 12,1
Region 25,Region 13,0
Region 25,Region 14,1
Region 25,Region 15,0
Region 25,Region 16,1
Region 25,Region 17,0
Region 25,Region 18,22
Region 25,Region 19,2
Region 25,Region 20,0
Region 25,Region 21,0
Region 25,Region 22,3
Region 25,Region 23,1
Region 25,Region 24,11
Region 25,Region 25,18
Region 25,Region 26,0
Region 25,Region 27,0
Region 25,Region 28,2
Region 25,Region 29,2
Region 25,Region 30,2
Region 25,Region 31,0
Region 25,Region 32,0
Region 25,Region 33,0
Region 25,Region 34,0
Region 25,Region 35,0
Region 25,External,50
