Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 13,Region 29,5
Region 13,Region 30,0
Region 13,Region 31,0
Region 13,Region 32,0
Region 13,Region 33,6
Region 13,Region 34,1
Region 13,Region 35,0
Region 13,Region 36,4
Region 13,Region 37,2
Region 13,Region 38,0
Region 13,Region 39,0
Region 13,Region 40,1
Region 13,Region 41,1
Region 13,Region 42,1
Region 13,Region 43,0
Region 13,Region 44,0
Region 13,External,75
Region 14,Region 1,0
Region 14,Region 2,3
Region 14,Region 3,4
Region 14,Region 4,1
Region 14,Region 5,0
Region 14,Region 6,0
Region 14,Region 7,1
Region 14,Region 8,0
Region 14,Region 9,0
Region 14,Region 10,0
Region 14,Region 11,0
Region 14,Region 12,1
Region 14,Region 13,2
Region 14,Region 14,7
Region 14,Region 15,3
Region 14,Region 16,2
Region 14,Region 17,1
Region 14,Region 18,3
Region 14,Region 19,2
Region 14,Region 20,2
Region 14,Region 21,1
Region 14,Region 22,1
Region 14,Region 23,2
Region 14,Region 24,0
Region 14,Region 25,0
Region 14,Region 26,0
Region 14,Region 27,5
Region 14,Region 28,0
Region 14,Region 29,3
Region 14,Region 30,3
Region 14,Region 31,1
Region 14,Region 32,0
Region 14,Region 33,5
Region 14,Region 34,2
Region 14,Region 35,0
Region 14,Region 36,0
Region 14,Region 37,1
Region 14,Region 38,1
Region 14,Region 39,0
Region 14,Region 40,0
Region 14,Region 41,0
Region 14,Region 42,4
Region 14,Region 43,0
Region 14,Region 44,0
Region 14,External,70
Region 15,Region 1,0
Region 15,Region 2,4
Region 15,Region 3,2
Region 15,Region 4,2
Region 15,Region 5,0
Region 15,Region 6,0
Region 15,Region 7,0
Region 15,Region 8,0
Region 15,Region 9,1
Region 15,Region 10,0
Region 15,Region 11,0
Region 15,Region 12,0
Region 15,Region 13,2
Region 15,Region 14,6
Region 15,Region 15,5
Region 15,Region 16,0
Region 15,Region 17,0
Region 15,Region 18,1
Region 15,Region 19,0
Region 15,Region 20,3
Region 15,Region 21,0
Region 15,Region 22,0
Region 15,Region 23,0
Region 15,Region 24,2
Region 15,Region 25,0
Region 15,Region 26,0
Region 15,Region 27,4
Region 15,Region 28,0
Region 15,Region 29,2
Region 15,Region 30,2
Region 15,Region 31,0
Region 15,Region 32,0
Region 15,Region 33,4
Region 15,Region 34,0
Region 15,Region 35,0
Region 15,Region 36,1
Region 15,Region 37,2
Region 15,Region 38,5
Region 15,Region 39,0
Region 15,Region 40,0
Region 15,Region 41,0
Region 15,Region 42,0
Region 15,Region 43,1
Region 15,Region 44,0
Region 15,External,37
Region 16,Region 1,0
Region 16,Region 2,4
Region 16,Region 3,0
Region 16,Region 4,1
Region 16,Region 5,0
Region 16,Region 6,0
Region 16,Region 7,0
Region 16,Region 8,0
Region 16,Region 9,8
Region 16,Region 10,0
Region 16,Region 11,0
Region 16,Region 12,1
Region 16,Region 13,3
Region 16,Region 14,2
Region 16,Region 15,5
Region 16,Region 16,1
Region 16,Region 17,0
Region 16,Region 18,4
Region 16,Region 19,1
Region 16,Region 20,7
Region 16,Region 21,0
Region 16,Region 22,1
Region 16,Region 23,0
Region 16,Region 24,1
Region 16,Region 25,1
Region 16,Region 26,0
Region 16,Region 27,6
Region 16,Region 28,1
Region 16,Region 29,2
Region 16,Region 30,0
Region 16,Region 31,0
Region 16,Region 32,0
Region 16,Region 33,3
Region 16,Region 34,0
Region 16,Region 35,0
Region 16,Region 36,0
Region 16,Region 37,1
Region 16,Region 38,0
Region 16,Region 39,0
Region 16,Region 40,1
Region 16,Region 41,1
Region 16,Region 42,0
Region 16,Region 43,1
Region 16,Region 44,0
Region 16,External,46
Region 17,Region 1,0
Region 17,Region 2,8
Region 17,Region 3,3
Region 17,Region 4,0
Region 17,Region 5,5
Region 17,Region 6,0
Region 17,Region 7,0
Region 17,Region 8,1
Region 17,Region 9,20
Region 17,Region 10,0
Region 17,Region 11,0
Region 17,Region 12,9
Region 17,Region 13,4
Region 17,Region 14,6
Region 17,Region 15,11
Region 17,Region 16,3
Region 17,Region 17,60
Region 17,Region 18,18
Region 17,Region 19,18
Region 17,Region 20,16
Region 17,Region 21,5
Region 17,Region 22,1
Region 17,Region 23,0
Region 17,Region 24,5
Region 17,Region 25,0
Region 17,Region 26,0
Region 17,Region 27,4
Region 17,Region 28,0
Region 17,Region 29,2
Region 17,Region 30,0
Region 17,Region 31,1
Region 17,Region 32,1
Region 17,Region 33,4
Region 17,Region 34,3
Region 17,Region 35,0
Region 17,Region 36,0
Region 17,Region 37,7
Region 17,Region 38,0
Region 17,Region 39,0
Region 17,Region 40,0
Region 17,Region 41,0
Region 17,Region 42,4
Region 17,Region 43,1
Region 17,Region 44,11
Region 17,External,272
Region 18,Region 1,2
Region 18,Region 2,3
Region 18,Region 3,0
Region 18,Region 4,0
Region 18,Region 5,7
Region 18,Region 6,0
Region 18,Region 7,1
Region 18,Region 8,0
Region 18,Region 9,7
Region 18,Region 10,0
Region 18,Region 11,0
Region 18,Region 12,2
Region 18,Region 13,2
Region 18,Region 14,1
Region 18,Region 15,4
Region 18,Region 16,3
Region 18,Region 17,19
Region 18,Region 18,16
Region 18,Region 19,1
Region 18,Region 20,8
Region 18,Region 21,1
Region 18,Region 22,1
Region 18,Region 23,0
Region 18,Region 24,6
Region 18,Region 25,0
Region 18,Region 26,0
Region 18,Region 27,2
Region 18,Region 28,1
Region 18,Region 29,2
Region 18,Region 30,0
Region 18,Region 31,0
Region 18,Region 32,0
Region 18,Region 33,3
Region 18,Region 34,1
Region 18,Region 35,0
Region 18,Region 36,0
Region 18,Region 37,3
Region 18,Region 38,0
Region 18,Region 39,0
Region 18,Region 40,1
Region 18,Region 41,1
Region 18,Region 42,2
Region 18,Region 43,1
Region 18,Region 44,1
Region 18,External,121
Region 19,Region 1,0
Region 19,Region 2,0
Region 19,Region 3,4
Region 19,Region 4,1
Region 19,Region 5,1
Region 19,Region 6,1
Region 19,Region 7,0
Region 19,Region 8,0
Region 19,Region 9,10
Region 19,Region 10,0
Region 19,Region 11,0
Region 19,Region 12,0
Region 19,Region 13,2
Region 19,Region 14,1
Region 19,Region 15,6
Region 19,Region 16,2
Region 19,Region 17,4
Region 19,Region 18,6
