Origin,Destination,Date range: 2021-01-25 - 2021-01-31 Time range: 00:00 - 00:00
Region 8,Region 36,3
Region 8,Region 37,3
Region 8,Region 38,5
Region 8,Region 39,5
Region 8,Region 40,27
Region 8,Region 41,0
Region 8,Region 42,31
Region 8,Region 43,4
Region 8,Region 44,16
Region 9,Region 1,17
Region 9,Region 2,138
Region 9,Region 3,49
Region 9,Region 4,54
Region 9,Region 5,63
Region 9,Region 6,57
Region 9,Region 7,35
Region 9,Region 8,45
Region 9,Region 9,812
Region 9,Region 10,20
Region 9,Region 11,6
Region 9,Region 12,92
Region 9,Region 13,103
Region 9,Region 14,64
Region 9,Region 15,141
Region 9,Region 16,106
Region 9,Region 17,2479
Region 9,Region 18,154
Region 9,Region 19,146
Region 9,Region 20,259
Region 9,Region 21,39
Region 9,Region 22,27
Region 9,Region 23,148
Region 9,Region 24,112
Region 9,Region 25,51
Region 9,Region 26,30
Region 9,Region 27,107
Region 9,Region 28,62
Region 9,Region 29,79
Region 9,Region 30,51
Region 9,Region 31,12
Region 9,Region 32,37
Region 9,Region 33,34
Region 9,Region 34,52
Region 9,Region 35,1528
Region 9,Region 36,30
Region 9,Region 37,120
Region 9,Region 38,75
Region 9,Region 39,77
Region 9,Region 40,193
Region 9,Region 41,7
Region 9,Region 42,523
Region 9,Region 43,130
Region 9,Region 44,68
Region 10,Region 1,1
Region 10,Region 2,3
Region 10,Region 3,0
Region 10,Region 4,3
Region 10,Region 5,2
Region 10,Region 6,1
Region 10,Region 7,0
Region 10,Region 8,0
Region 10,Region 9,24
Region 10,Region 10,3
Region 10,Region 11,1
Region 10,Region 12,8
Region 10,Region 13,7
Region 10,Region 14,1
Region 10,Region 15,1
Region 10,Region 16,0
Region 10,Region 17,67
Region 10,Region 18,6
Region 10,Region 19,14
Region 10,Region 20,10
Region 10,Region 21,4
Region 10,Region 22,3
Region 10,Region 23,10
Region 10,Region 24,11
Region 10,Region 25,2
Region 10,Region 26,2
Region 10,Region 27,4
Region 10,Region 28,4
Region 10,Region 29,2
Region 10,Region 30,3
Region 10,Region 31,0
Region 10,Region 32,5
Region 10,Region 33,0
Region 10,Region 34,2
Region 10,Region 35,56
Region 10,Region 36,0
Region 10,Region 37,1
Region 10,Region 38,1
Region 10,Region 39,3
Region 10,Region 40,27
Region 10,Region 41,0
Region 10,Region 42,13
Region 10,Region 43,5
Region 10,Region 44,10
Region 11,Region 1,23
Region 11,Region 2,1
Region 11,Region 3,11
Region 11,Region 4,1
Region 11,Region 5,1
Region 11,Region 6,6
Region 11,Region 7,0
Region 11,Region 8,0
Region 11,Region 9,3
Region 11,Region 10,0
Region 11,Region 11,6
Region 11,Region 12,130
Region 11,Region 13,43
Region 11,Region 14,1
Region 11,Region 15,0
Region 11,Region 16,0
Region 11,Region 17,18
Region 11,Region 18,2
Region 11,Region 19,0
Region 11,Region 20,1
Region 11,Region 21,1
Region 11,Region 22,6
Region 11,Region 23,2
Region 11,Region 24,73
Region 11,Region 25,0
Region 11,Region 26,0
Region 11,Region 27,18
Region 11,Region 28,5
Region 11,Region 29,6
Region 11,Region 30,10
Region 11,Region 31,0
Region 11,Region 32,1
Region 11,Region 33,1
Region 11,Region 34,2
Region 11,Region 35,12
Region 11,Region 36,0
Region 11,Region 37,0
Region 11,Region 38,2
Region 11,Region 39,0
Region 11,Region 40,12
Region 11,Region 41,0
Region 11,Region 42,7
Region 11,Region 43,4
Region 11,Region 44,1
Region 12,Region 1,9
Region 12,Region 2,7
Region 12,Region 3,9
Region 12,Region 4,4
Region 12,Region 5,9
Region 12,Region 6,15
Region 12,Region 7,6
Region 12,Region 8,2
Region 12,Region 9,55
Region 12,Region 10,11
Region 12,Region 11,15
Region 12,Region 12,172
Region 12,Region 13,32
Region 12,Region 14,20
Region 12,Region 15,8
Region 12,Region 16,6
Region 12,Region 17,182
Region 12,Region 18,21
Region 12,Region 19,30
Region 12,Region 20,33
Region 12,Region 21,8
Region 12,Region 22,26
Region 12,Region 23,41
Region 12,Region 24,109
Region 12,Region 25,5
Region 12,Region 26,0
Region 12,Region 27,18
Region 12,Region 28,12
Region 12,Region 29,22
Region 12,Region 30,16
Region 12,Region 31,3
Region 12,Region 32,11
Region 12,Region 33,10
Region 12,Region 34,5
Region 12,Region 35,213
Region 12,Region 36,3
Region 12,Region 37,4
Region 12,Region 38,6
Region 12,Region 39,19
Region 12,Region 40,78
Region 12,Region 41,1
Region 12,Region 42,61
Region 12,Region 43,25
Region 12,Region 44,30
Region 13,Region 1,51
Region 13,Region 2,31
Region 13,Region 3,77
Region 13,Region 4,26
Region 13,Region 5,10
Region 13,Region 6,2
Region 13,Region 7,6
Region 13,Region 8,5
Region 13,Region 9,71
Region 13,Region 10,4
Region 13,Region 11,43
Region 13,Region 12,121
Region 13,Region 13,175
Region 13,Region 14,76
Region 13,Region 15,31
Region 13,Region 16,24
Region 13,Region 17,337
Region 13,Region 18,30
Region 13,Region 19,21
Region 13,Region 20,45
Region 13,Region 21,18
Region 13,Region 22,20
Region 13,Region 23,63
Region 13,Region 24,63
Region 13,Region 25,8
Region 13,Region 26,5
Region 13,Region 27,98
Region 13,Region 28,55
Region 13,Region 29,54
Region 13,Region 30,51
Region 13,Region 31,11
Region 13,Region 32,56
Region 13,Region 33,25
Region 13,Region 34,22
Region 13,Region 35,546
Region 13,Region 36,18
Region 13,Region 37,10
Region 13,Region 38,33
Region 13,Region 39,60
Region 13,Region 40,74
Region 13,Region 41,2
Region 13,Region 42,117
Region 13,Region 43,16
Region 13,Region 44,20
Region 14,Region 1,24
Region 14,Region 2,41
Region 14,Region 3,56
Region 14,Region 4,7
Region 14,Region 5,7
Region 14,Region 6,2
Region 14,Region 7,7
Region 14,Region 8,2
Region 14,Region 9,51
Region 14,Region 10,1
Region 14,Region 11,8
Region 14,Region 12,22
Region 14,Region 13,38
Region 14,Region 14,54
Region 14,Region 15,37
Region 14,Region 16,17
Region 14,Region 17,250
Region 14,Region 18,26
Region 14,Region 19,19
Region 14,Region 20,21
Region 14,Region 21,10
Region 14,Region 22,21
Region 14,Region 23,23
Region 14,Region 24,25
Region 14,Region 25,4
Region 14,Region 26,4
Region 14,Region 27,50
Region 14,Region 28,38
Region 14,Region 29,37
Region 14,Region 30,30
Region 14,Region 31,6
Region 14,Region 32,25
Region 14,Region 33,19
Region 14,Region 34,22
Region 14,Region 35,429
Region 14,Region 36,4
Region 14,Region 37,9
Region 14,Region 38,41
Region 14,Region 39,45
Region 14,Region 40,66
Region 14,Region 41,0
Region 14,Region 42,51
Region 14,Region 43,2
Region 14,Region 44,29
Region 15,Region 1,42
Region 15,Region 2,64
Region 15,Region 3,24
