Origin,Destination,Date range: 2021-01-18 - 2021-01-22 Time range: 07:00 - 09:00
Region 20,Region 26,8
Region 20,Region 27,3
Region 20,Region 28,7
Region 20,Region 29,3
Region 20,Region 30,1
Region 20,Region 31,0
Region 20,Region 32,3
Region 20,Region 33,4
Region 20,Region 34,6
Region 20,Region 35,165
Region 20,Region 36,1
Region 20,Region 37,13
Region 20,Region 38,1
Region 20,Region 39,3
Region 20,Region 40,6
Region 20,Region 41,1
Region 20,Region 42,17
Region 20,Region 43,13
Region 20,Region 44,9
Region 21,Region 1,0
Region 21,Region 2,1
Region 21,Region 3,1
Region 21,Region 4,0
Region 21,Region 5,1
Region 21,Region 6,0
Region 21,Region 7,2
Region 21,Region 8,0
Region 21,Region 9,5
Region 21,Region 10,0
Region 21,Region 11,0
Region 21,Region 12,0
Region 21,Region 13,0
Region 21,Region 14,1
Region 21,Region 15,0
Region 21,Region 16,5
Region 21,Region 17,16
Region 21,Region 18,2
Region 21,Region 19,16
Region 21,Region 20,5
Region 21,Region 21,21
Region 21,Region 22,7
Region 21,Region 23,31
Region 21,Region 24,1
Region 21,Region 25,4
Region 21,Region 26,5
Region 21,Region 27,0
Region 21,Region 28,0
Region 21,Region 29,2
Region 21,Region 30,0
Region 21,Region 31,1
Region 21,Region 32,1
Region 21,Region 33,3
Region 21,Region 34,0
Region 21,Region 35,29
Region 21,Region 36,0
Region 21,Region 37,4
Region 21,Region 38,0
Region 21,Region 39,3
Region 21,Region 40,0
Region 21,Region 41,0
Region 21,Region 42,12
Region 21,Region 43,3
Region 21,Region 44,2
Region 22,Region 1,0
Region 22,Region 2,0
Region 22,Region 3,0
Region 22,Region 4,1
Region 22,Region 5,0
Region 22,Region 6,0
Region 22,Region 7,0
Region 22,Region 8,0
Region 22,Region 9,5
Region 22,Region 10,0
Region 22,Region 11,0
Region 22,Region 12,2
Region 22,Region 13,1
Region 22,Region 14,3
Region 22,Region 15,0
Region 22,Region 16,0
Region 22,Region 17,9
Region 22,Region 18,5
Region 22,Region 19,3
Region 22,Region 20,4
Region 22,Region 21,8
Region 22,Region 22,16
Region 22,Region 23,23
Region 22,Region 24,16
Region 22,Region 25,1
Region 22,Region 26,0
Region 22,Region 27,7
