,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
14,0.2,0.2,0.0,0.8,0.2,0.2,0.2,0.2,0.0,0.4,0.0,0.2,0.6,1.4,0.0,1.4,0.2,1.4,0.2,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.2,1.0,0.2,0.8,0.0,0.0,0.2,0.0,0.2
15,0.0,0.2,0.4,0.4,0.0,1.4,0.2,1.6,0.6,1.2,0.8,0.8,0.0,1.2,1.2,0.0,0.0,2.0,0.2,0.0,0.0,0.4,0.4,0.0,0.8,0.0,0.4,1.4,0.4,0.0,0.0,0.0,0.2,0.0,0.2
16,0.2,0.0,0.2,0.2,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0
17,0.6,1.6,1.0,2.6,1.6,3.6,0.8,0.0,0.2,2.0,1.4,2.0,0.0,0.4,0.8,1.4,0.6,0.0,3.8,0.4,2.6,2.0,0.8,4.2,2.4,0.0,1.0,2.0,0.6,1.8,0.0,0.2,0.8,0.2,0.2
18,0.0,0.4,0.2,0.6,0.2,0.6,0.2,0.6,0.0,0.6,0.0,0.4,0.2,0.2,0.0,0.6,0.0,1.6,0.0,0.6,1.6,0.2,0.0,1.6,0.8,0.2,0.0,0.6,0.2,0.2,0.0,0.4,0.2,0.0,0.2
19,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.2,0.0,0.2,0.0,0.6,0.0,0.0,0.8,0.2,0.0,0.4,1.2,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.2,0.0,0.6,0.2,0.4,0.2,0.0,0.2,1.2,0.0,0.2,0.4,0.2,0.0,0.4,0.0,2.0,3.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2
21,0.0,0.2,0.0,2.0,0.0,1.4,1.4,0.2,0.2,3.2,0.2,0.0,0.0,0.6,0.0,0.0,0.0,1.6,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4
22,0.4,0.0,1.0,1.0,0.2,0.4,1.0,0.6,1.2,2.4,0.2,0.4,1.0,0.4,0.4,0.4,0.2,2.8,0.2,0.0,0.0,0.8,0.0,0.0,0.2,0.2,0.6,2.4,0.0,0.4,0.0,0.0,0.0,0.0,0.4
23,0.2,0.0,0.0,1.4,0.4,1.6,0.2,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.6,0.8,0.4,6.6,1.6,0.2,0.0,1.6,0.2,0.0,2.0,0.0,0.0,2.0,0.2,2.4,0.0,0.0,0.4,0.2,0.2
