,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
27,11.2,19.7,10.4,1.8,4.7,6.2,1.4,0.7,28.6,0.8,2.7,9.5,14.3,6.0,6.1,5.7,0.9,1.7,4.6,0.9,0.9,3.2,0.0,7.2,0.0,1.0,33.8,0.0,6.0,14.8,0.0,0.0,24.7,9.0,0.9,0.6,0.0,11.3,0.0,5.7,1.6,6.9,1.8,1.0
28,6.5,11.7,6.0,0.0,7.8,11.1,5.5,1.3,20.9,2.3,3.2,11.5,11.6,7.0,2.4,3.6,8.3,3.2,10.6,7.2,3.5,11.7,0.0,8.9,0.0,0.0,12.3,2.7,0.0,20.6,2.5,0.0,8.2,3.2,1.0,0.0,0.0,7.4,0.0,8.5,1.3,10.3,2.5,0.5
29,19.6,26.5,15.2,5.4,8.3,15.4,5.4,1.4,44.8,1.3,7.3,18.2,28.0,10.6,9.1,10.8,4.2,3.4,29.0,3.3,5.4,5.5,3.5,13.8,1.0,1.6,69.3,12.2,33.1,0.0,1.1,0.0,23.7,16.6,0.0,2.6,0.0,11.3,1.0,8.0,5.1,32.7,8.2,1.4
30,1.6,0.0,0.0,0.0,0.8,0.3,0.0,0.0,4.2,0.0,0.0,1.6,2.7,1.2,1.8,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,1.4,0.0,0.0,1.4,0.5,1.4,2.1,0.0,0.0,2.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,1.4,0.4,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,3.2,8.4,3.7,0.9,1.8,2.2,0.5,0.8,7.5,2.1,0.0,2.9,4.9,3.3,0.9,5.4,6.3,1.8,6.1,1.9,0.9,4.7,0.0,2.8,0.0,1.0,15.1,5.1,2.3,11.1,1.5,0.0,0.0,3.8,0.0,0.0,0.0,4.7,1.8,2.1,0.5,0.1,1.0,1.0
33,9.7,13.7,4.4,0.7,3.0,5.5,1.9,1.0,24.9,0.0,1.2,5.4,4.7,6.4,4.2,8.9,5.6,5.2,7.5,2.5,2.9,1.9,1.8,5.0,0.0,1.9,11.6,4.2,4.2,4.9,0.0,0.0,13.3,0.0,2.9,2.0,0.0,14.3,0.0,3.5,0.6,2.4,1.0,3.6
34,5.4,2.3,0.8,1.0,1.7,2.1,0.8,1.8,8.8,0.0,0.0,3.6,3.6,1.0,2.6,1.8,2.8,0.8,4.7,0.9,0.6,0.9,0.0,0.0,0.0,0.0,5.1,3.7,2.6,0.9,0.0,0.0,5.8,4.2,0.0,0.0,0.7,1.6,0.0,1.8,0.0,1.6,0.8,0.9
35,7.2,8.3,4.8,1.2,2.0,3.2,0.3,1.4,19.6,0.0,1.9,1.0,5.9,1.4,3.2,1.8,0.0,0.9,1.1,0.9,1.4,0.0,0.0,2.6,0.0,0.0,4.3,0.0,3.0,0.7,0.0,0.0,7.1,4.1,0.0,0.0,0.0,5.0,0.0,0.9,1.0,0.0,0.9,0.0
36,0.0,1.5,1.0,0.0,0.0,0.0,0.3,0.0,1.2,0.0,0.0,0.0,0.9,0.0,0.8,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
37,10.5,27.9,7.9,2.8,7.6,3.1,4.7,1.3,56.3,0.9,1.5,7.7,14.4,7.0,6.7,12.7,7.5,2.9,19.5,2.4,3.4,5.7,1.9,4.2,0.0,1.0,17.7,5.6,12.0,6.1,0.2,0.0,20.2,12.0,1.3,4.4,1.0,0.0,0.4,3.5,1.0,7.7,1.5,3.5
38,0.0,0.5,0.0,0.0,0.9,0.5,0.0,0.0,2.4,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.9,0.9,0.0,0.0,0.7,2.0,0.7,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.0
39,9.2,13.6,16.5,2.0,10.3,22.6,4.3,2.0,31.9,3.7,4.4,10.8,19.5,8.4,3.7,6.2,7.8,1.7,36.5,6.6,10.6,17.7,1.4,21.8,0.0,0.9,20.4,1.9,14.3,10.0,2.3,0.0,12.2,2.1,0.0,0.5,0.0,2.8,0.0,0.0,2.3,27.6,10.6,1.9
40,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,2.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0
41,4.8,3.8,4.0,0.0,2.4,5.7,0.7,0.0,9.4,0.0,0.2,5.2,10.1,0.9,0.0,2.1,1.6,1.7,6.0,3.3,4.3,2.8,0.0,5.1,0.0,0.0,15.6,1.5,14.0,12.2,0.4,1.0,6.2,0.0,0.0,1.0,0.0,2.0,0.0,5.7,1.5,0.0,4.9,2.2
42,0.8,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.0,1.0,1.0,0.0,2.6,2.8,0.0,1.7,0.0,0.6,0.0,0.0,1.8,0.9,1.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.8,0.0,0.0
43,8.2,15.5,4.9,1.0,12.2,11.4,6.7,0.8,44.9,3.1,3.2,5.9,8.9,1.7,1.1,0.0,52.4,8.0,11.2,8.5,4.3,7.0,2.3,5.8,1.0,0.0,4.9,0.0,4.7,5.7,0.0,0.0,7.9,2.9,0.9,1.0,0.0,5.4,0.0,3.2,0.0,4.0,1.7,0.0
